device_id,timestamp,longitude,latitude,wave_height,wave_period,wave_direction,water_temperature,wind_speed,wind_direction,air_pressure
BUOY-001,2026-06-01T00:00:00,121.50547313867258,31.20005236169286,3.1,9.7,102,21.9,19.6,121,1014.4
BUOY-001,2026-06-01T06:00:00,121.49480787323995,31.199619578393115,3.71,28.5,21,18.4,9.1,252,1008.4
BUOY-001,2026-06-01T12:00:00,121.50671815319073,31.205119141379388,0.5,8.9,187,17.0,13.6,270,1020.3
BUOY-001,2026-06-01T18:00:00,121.4961063944682,31.208237072916578,2.23,10.1,306,15.7,9.3,134,1013.6
BUOY-002,2026-06-01T00:00:00,121.8045890467851,31.495348993326388,1.78,11.9,263,20.9,8.8,34,1011.9
BUOY-002,2026-06-01T06:00:00,121.79889673204974,31.491691501909628,2.97,7.5,309,23.3,25.9,190,1019.0
BUOY-002,2026-06-01T12:00:00,121.79423600388677,31.495368013502468,2.29,12.4,350,22.1,11.1,303,1016.7
BUOY-002,2026-06-01T18:00:00,121.79198496283747,31.498114226364994,0.5,11.1,52,20.1,14.4,279,1016.3
BUOY-003,2026-06-01T00:00:00,122.09793208068562,30.99688388736425,0.88,8.2,14,16.6,12.7,300,1009.6
BUOY-003,2026-06-01T06:00:00,122.10242848361233,31.004642406573875,3.23,12.1,134,22.8,7.8,200,1011.5
BUOY-003,2026-06-01T12:00:00,122.09212240300519,30.990464678104658,0.69,12.2,215,19.5,9.9,292,1017.1
BUOY-003,2026-06-01T18:00:00,122.09614033982874,31.00443295928891,4.13,9.9,256,23.0,13.8,4,1009.8
BUOY-001,2026-06-02T00:00:00,121.50261604925834,31.199102764915768,4.29,10.7,14,36.2,7.4,345,1013.4
BUOY-001,2026-06-02T06:00:00,121.49479181633119,31.2060670821783,2.14,10.2,236,36.2,10.9,142,1014.8
BUOY-001,2026-06-02T12:00:00,121.5071732857588,31.199642219442197,1.55,11.5,85,36.2,9.9,283,1017.6
BUOY-001,2026-06-02T18:00:00,121.50097976437591,31.191797824677458,2.89,8.9,347,36.2,12.5,230,1017.8
BUOY-002,2026-06-02T00:00:00,121.80580232814256,31.493284551605832,4.2,10.9,197,16.0,6.9,136,1022.7
BUOY-002,2026-06-02T06:00:00,121.79726683963483,31.498533010777884,4.2,8.2,232,17.5,9.6,179,1010.2
BUOY-002,2026-06-02T12:00:00,121.79855267234552,31.50847213092137,4.2,9.9,112,14.2,11.9,80,1010.8
BUOY-002,2026-06-02T18:00:00,121.79375501017716,31.504939698287785,4.2,12.5,217,15.7,13.7,159,1022.9
BUOY-003,2026-06-02T00:00:00,122.09834899782254,31.003218374524444,5.09,12.5,254,19.4,8.6,293,1020.0
BUOY-003,2026-06-02T06:00:00,122.10968319050704,30.99562874223544,0.82,11.2,348,26.6,7.0,258,1010.2
BUOY-003,2026-06-02T12:00:00,122.10735665766323,31.00578906428441,4.55,11.7,146,20.0,10.2,147,1007.7
BUOY-003,2026-06-02T18:00:00,122.09590360370215,31.009568587067136,3.07,8.2,150,24.6,8.1,297,1011.4
BUOY-001,2026-06-03T00:00:00,121.49297147360694,31.192562583215235,3.48,7.5,59,20.7,18.5,1,1018.0
BUOY-001,2026-06-03T06:00:00,121.50091542559751,31.209468782773957,2.68,8.8,151,17.5,16.1,53,1015.4
BUOY-001,2026-06-03T12:00:00,121.50903340952331,31.19703825936112,3.24,12.4,226,20.7,16.2,111,1014.5
BUOY-001,2026-06-03T18:00:00,121.49501393160253,31.197661044220702,1.64,13.7,160,21.4,6.0,67,1016.3
BUOY-002,2026-06-03T00:00:00,121.80334774291815,31.50294146017902,1.6,7.7,134,22.3,18.3,194,1017.1
BUOY-002,2026-06-03T06:00:00,121.7911109492235,31.49346642486948,4.78,9.5,37,17.7,7.6,229,1008.9
BUOY-002,2026-06-03T12:00:00,121.79571643316024,31.501967700647313,3.55,9.5,285,23.6,14.7,96,1011.7
BUOY-002,2026-06-03T18:00:00,121.79453016637001,31.502576255566506,5.76,11.3,219,17.4,22.5,157,1015.4
BUOY-003,2026-06-03T00:00:00,122.09847415183562,31.00235177845473,2.35,11.5,160,18.6,15.9,255,1001.4
BUOY-003,2026-06-03T06:00:00,122.09212961756845,31.000851918173154,2.18,12.2,150,19.0,15.2,126,1007.6
BUOY-003,2026-06-03T12:00:00,122.10118903135928,30.995118248243454,6.8,10.1,298,22.6,17.3,245,1006.1
BUOY-003,2026-06-03T18:00:00,122.09917156747188,31.00924321340067,1.37,11.0,172,21.5,14.6,19,1032.3
