datetime,symbol,direction,volume,price,match_price,amount,fee,slippage,net_amount,match_method,is_suspended,fee_commission,fee_rate_used,fee_total,slip_model,slip_bps,slip_slippage_per_share,fee_stamp_duty
2024-01-01,000001.SZ,1,2705,9.562868,9.56,25859.800000000003,7.7579400000000005,7.75794,25875.315880000002,限价单-未成交,False,7.7579400000000005,0.0003,7.7579400000000005,fixed,3,0.002868,
2024-01-01,600000.SH,1,880,8.0024,8.0,7040.0,5.0,2.1119999999999997,7047.112,市价单-开盘价成交,False,5.0,0.0003,5.0,fixed,3,0.0024,
2024-01-01,000001.SZ,-1,2297,9.997,10.0,22970.0,29.860999999999997,6.890999999999999,22933.248,市价单-开盘价成交,False,6.890999999999999,0.0003,29.860999999999997,fixed,3,0.0029999999999999996,22.97
2024-01-02,600519.SH,-1,7645,1736.148999,1736.67,13276842.15,17259.894795,3983.0526449999993,13255599.20256,限价单-挂单价格成交,False,3983.0526449999998,0.0003,17259.894795,fixed,3,0.5210009999999999,13276.84215
2024-01-03,000001.SZ,-1,2409,10.126961000000001,10.13,24403.170000000002,29.403170000000003,7.320951,24366.445879,市价单-开盘价成交,False,5.0,0.0002,29.403170000000003,fixed,3,0.003039,24.403170000000003
2024-01-03,000001.SZ,1,2771,9.982994,9.98,27654.58,8.296374,8.296373999999998,27671.172748000005,限价单-挂单价格成交,False,8.296374,0.0003,8.296374,fixed,3,0.0029939999999999997,
2024-01-04,600519.SH,-1,7098,1680.845595,1681.35,11934222.299999999,14321.06676,3580.266689999999,11916320.966549998,市价单-开盘价成交,False,2386.84446,0.0002,14321.06676,fixed,3,0.5044049999999999,11934.2223
2024-01-04,000002.SZ,-1,3891,14.785563,14.79,57547.89,69.057468,17.264366999999996,57461.568165,市价单-开盘价成交,False,11.509578000000001,0.0002,69.057468,fixed,3,0.004436999999999999,57.54789
2024-01-04,600000.SH,1,8951,7.9123730000000005,7.91,70802.41,21.240723,21.240722999999996,70844.891446,市价单-开盘价成交,False,21.240723,0.0003,21.240723,fixed,3,0.0023729999999999997,
2024-01-04,000001.SZ,-1,6629,9.767069,9.77,64765.329999999994,77.71839599999998,19.429598999999996,64668.182004999995,限价单-挂单价格成交,False,12.953066,0.0002,77.71839599999998,fixed,3,0.0029309999999999996,64.76532999999999
2024-01-05,000001.SZ,-1,5278,9.667099,9.67,51038.26,61.245912000000004,15.311478,50961.70261,限价单-挂单价格成交,False,10.207652000000001,0.0002,61.245912000000004,fixed,3,0.002901,51.03826
2024-01-05,600519.SH,-1,1808,1686.333948,1686.84,3049806.7199999997,3659.7680639999994,914.9420159999999,3045232.0099199996,市价单-开盘价成交,False,609.9613439999999,0.0002,3659.7680639999994,fixed,3,0.506052,3049.8067199999996
2024-01-05,000001.SZ,-1,649,9.677096,9.68,6282.32,11.282319999999999,1.8846959999999997,6269.152983999999,市价单-开盘价成交,False,5.0,0.0002,11.282319999999999,fixed,3,0.0029039999999999995,6.2823199999999995
2024-01-05,600000.SH,1,1550,7.90237,7.9,12245.0,5.0,3.6734999999999998,12253.6735,限价单-挂单价格成交,False,5.0,0.0003,5.0,fixed,3,0.0023699999999999997,
