时间(s),x观测(m),x模拟(m),x误差(m),y观测(m),y模拟(m),y误差(m),位置误差(m),θ观测(deg),θ模拟(deg),θ误差(deg),来源
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,轨迹文件: trajectory_normal.csv
0.2,7.071,7.071,0.0,7.071,7.071,0.0,0.0,43.270317594431596,43.26846841792885,0.0018491765027448537,轨迹文件: trajectory_normal.csv
0.4,13.955,13.95544584634032,-0.00044584634031963333,13.552,13.551424079371145,0.000575920628854476,0.00072832927300538,41.39480387264908,41.39061453567684,0.0041893369722387774,轨迹文件: trajectory_normal.csv
0.6,20.669,20.668908826099216,9.117390078472454e-05,19.469,19.46818367559446,0.0008163244055410246,0.0008214001553848221,39.360530680172516,39.35473205010962,0.005798630062898269,轨迹文件: trajectory_normal.csv
0.8,27.225,27.225273944076587,-0.0002739440765857637,24.847,24.844973277919955,0.0020267220800462837,0.0020451522551740643,37.15594253183301,37.148900624159964,0.007041907673048797,轨迹文件: trajectory_normal.csv
1.0,33.636,33.63695275760218,-0.000952757602178167,29.705,29.702695661493742,0.0023043385062564425,0.0024935362439564546,34.77102309478596,34.76137921133398,0.009643883451978752,轨迹文件: trajectory_normal.csv
1.2,39.913,39.915057573511746,-0.0020575735117489558,34.063,34.05981911516422,0.0031808848357854913,0.003788355460457878,32.19247407549994,32.18116229555934,0.011311779940598399,轨迹文件: trajectory_normal.csv
1.4,46.067,46.06954408284008,-0.002544082840081785,37.937,37.932680789765925,0.004319210234072557,0.005012777128829459,29.41169256901645,29.398727723260592,0.012964845755856658,轨迹文件: trajectory_normal.csv
1.6,52.105,52.10932798531869,-0.004327985318695937,41.342,41.335747420911524,0.006252579088474874,0.007604354159064454,26.420369080289618,26.406991901490958,0.013377178798659628,轨迹文件: trajectory_normal.csv
1.8,58.037,58.042380055456896,-0.005380055456896571,44.289,44.281842532076254,0.007157467923747163,0.008954012720493091,23.216610738025437,23.20246143696039,0.014149301065046416,轨迹文件: trajectory_normal.csv
2.0,63.869,63.875803332724026,-0.006803332724025779,46.79,46.782347588355954,0.007652411644045287,0.010239372057099983,19.802199779708225,19.786526187534946,0.015673592173278905,轨迹文件: trajectory_normal.csv
2.2,69.608,69.6158956158252,-0.007895615825191271,48.857,48.84738328373554,0.009616716264460479,0.012442748127730848,16.183232937491045,16.16677744956562,0.016455487925426837,轨迹文件: trajectory_normal.csv
2.4,75.258,75.26820015465756,-0.01020015465756785,50.496,50.48597606846131,0.010023931538690078,0.014301131372400184,12.3737642650768,12.358164830974669,0.01559943410213016,轨迹文件: trajectory_normal.csv
2.6,80.825,80.83754731305979,-0.01254731305978396,51.718,51.706214040937965,0.011785959062038387,0.017214641908336922,8.39738042891484,8.383745899564946,0.013634529349893398,轨迹文件: trajectory_normal.csv
2.8,86.314,86.32808995903572,-0.014089959035729294,52.528,52.51539534331452,0.01260465668547539,0.01890513993037949,4.287469160356799,4.274764143571092,0.012705016785706569,轨迹文件: trajectory_normal.csv
3.0,91.727,91.74333534522013,-0.016335345220127806,52.934,52.920171145669855,0.013828854330142804,0.021402820270820893,0.08153839231808302,0.06984455238915163,0.011693839928931388,轨迹文件: trajectory_normal.csv
