=,========================================
矿山设备租赁账单
账单编号,BILL-202405-金龙矿区
客户,
矿区,金龙矿区
账期,2024-05-01 至 2024-05-05
出具日期,2026-05-28
-,----------------------------------------

设备编号,设备名称,日期,项目,数量,单位,单价,金额,来源凭证
EX-001,挖掘机CAT320,2024-05-01,2024-05-01 - 设备租赁,16.0,小时,180.0,2880.0,sample_data/班次表.csv第2行; sample_data/班次表.csv第3行
EX-001,挖掘机CAT320,2024-05-02,2024-05-02 - 设备租赁,16.0,小时,180.0,2880.0,sample_data/班次表.csv第3行; sample_data/班次表.csv第4行
EX-001,挖掘机CAT320,2024-05-03,2024-05-03 - 设备租赁,6.0,小时,180.0,1080.0,sample_data/班次表.csv第5行; sample_data/故障停机.csv第2行
EX-002,装载机ZL50,2024-05-01,2024-05-01 - 台班费,1,班,1200.0,1200.0,sample_data/班次表.csv第6行
EX-002,装载机ZL50,2024-05-02,2024-05-02 - 台班费,1,班,1200.0,1200.0,sample_data/班次表.csv第7行
EX-003,自卸车HD465,2024-05-01,2024-05-01 - 设备租赁,16.0,小时,150.0,2400.0,sample_data/班次表.csv第8行; sample_data/班次表.csv第9行
EX-003,自卸车HD465,2024-05-02,2024-05-02 - 设备租赁,8.0,小时,150.0,1200.0,sample_data/班次表.csv第10行

-,----------------------------------------
合计,,,,,,,12840.0

【问题清单】
!,签字单SIG-20240502-01缺页 - 缺少第[2]页 (共3页) - 来源: sample_data/签字单.csv第4行

【警告提示】
?,"设备EX-001(挖掘机CAT320) 2024-05-01 缺少1个班次 (应3个,实2个) - 现有: 早班,中班"
?,"设备EX-001(挖掘机CAT320) 2024-05-02 缺少2个班次 (应3个,实1个) - 现有: 早班"
?,"设备EX-001(挖掘机CAT320) 2024-05-03 缺少2个班次 (应3个,实1个) - 现有: 早班"
?,"设备EX-001(挖掘机CAT320) 2024-05-04 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-001(挖掘机CAT320) 2024-05-05 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-002(装载机ZL50) 2024-05-01 缺少2个班次 (应3个,实1个) - 现有: 白班"
?,"设备EX-002(装载机ZL50) 2024-05-02 缺少2个班次 (应3个,实1个) - 现有: 白班"
?,"设备EX-002(装载机ZL50) 2024-05-03 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-002(装载机ZL50) 2024-05-04 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-002(装载机ZL50) 2024-05-05 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-003(自卸车HD465) 2024-05-01 缺少1个班次 (应3个,实2个) - 现有: 早班,中班"
?,"设备EX-003(自卸车HD465) 2024-05-02 缺少2个班次 (应3个,实1个) - 现有: 早班"
?,"设备EX-003(自卸车HD465) 2024-05-03 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-003(自卸车HD465) 2024-05-04 缺少3个班次 (应3个,实0个) - 现有: 无"
?,"设备EX-003(自卸车HD465) 2024-05-05 缺少3个班次 (应3个,实0个) - 现有: 无"
?,有1份签字单未匹配到班次
?,有4个班次无对应签字单

【凭证文件】
@,scan/SIG-20240501-03_2.jpg
@,scan/20240501_1.jpg
@,scan/20240501_T1.jpg
@,scan/SIG-20240502-01_1.jpg
@,scan/20240501_L1.jpg
@,scan/20240502_T1.jpg
@,scan/SIG-20240501-02_1.jpg
@,scan/SIG-20240501-01_2.jpg
@,scan/20240502_L1.jpg
@,scan/SIG-20240501-01_1.jpg
@,scan/20240503_1.jpg
@,scan/20240501_2.jpg
@,scan/SIG-20240501-03_1.jpg
@,scan/SIG-20240502-01_3.jpg
@,scan/20240501_T2.jpg
