timestamp,x,y,floor,beacon_id,rssi,original_line,is_floor_jump,floor_jump_type,is_beacon_duplicate,beacon_duplicate_group,timestamp_rounded,is_trajectory_drift,drift_type,speed_m_s,is_anomaly,anomaly_types
15.0,21.904,10.386,1,BEACON_01_0202,-54.0,39,False,,False,-1,15.0,True,high_speed,16.310091722611496,True,轨迹漂移
15.5,14.079,9.886,1,BEACON_01_0201,-50.9,40,False,,False,-1,15.5,True,high_speed,15.681916336978716,True,轨迹漂移
22.5,18.519,7.261,3,BEACON_01_0301,-73.5,54,True,single_point_jump,False,-1,22.5,False,,0.8503975540886688,True,楼层串跳
32.5,35.94,18.698,2,BEACON_02_0503,-69.2,75,False,,False,-1,32.5,True,high_speed,19.840000403225797,True,轨迹漂移
33.0,26.288,18.643,2,BEACON_02_0503,-55.5,76,False,,False,-1,33.0,True,high_speed,19.304313404003775,True,轨迹漂移
35.0,27.545,18.048,2,BEACON_02_0503,-70.0,80,False,,True,0,35.0,False,,0.6318006014558701,True,信标重号
35.0,32.545,21.048,2,BEACON_02_0503,-55.2,81,False,,True,0,35.0,False,,0.0,True,信标重号
35.5,27.429,17.586,2,BEACON_02_0503,-55.8,82,False,,False,-1,35.5,True,high_speed,12.354578098826368,True,轨迹漂移
45.0,32.625,11.879,1,BEACON_02_0602,-58.3,101,True,single_point_jump,False,-1,45.0,False,,2.067525090536992,True,楼层串跳
50.0,35.072,11.119,2,BEACON_02_0702,-72.4,112,False,,True,1,50.0,False,,0.9306105522720041,True,信标重号
50.0,31.072,13.119,2,BEACON_02_0702,-51.1,113,False,,True,1,50.0,False,,0.0,True,信标重号
50.5,35.467,11.249,2,BEACON_02_0702,-57.6,114,False,,False,-1,50.5,True,high_speed,9.552575568923805,True,轨迹漂移
65.0,55.65,21.988,3,BEACON_03_0804,-69.4,144,False,,False,-1,65.0,True,high_speed,24.164090133915657,True,轨迹漂移
65.5,43.533,21.995,3,BEACON_03_0804,-67.1,145,False,,False,-1,65.5,True,high_speed,24.234004043904914,True,轨迹漂移
75.0,47.814,25.888,2,BEACON_03_0905,-79.1,164,True,multi_point_jump,False,-1,75.0,False,,0.5849581181588961,True,楼层串跳
75.5,48.148,26.322,2,BEACON_03_0905,-76.0,165,True,multi_point_jump,False,-1,75.5,False,,1.095284437942948,True,楼层串跳
87.5,43.115,31.295,1,BEACON_03_0806,-54.0,189,True,single_point_jump,False,-1,87.5,False,,1.122575609925673,True,楼层串跳
