student_id,item_id,is_correct,course_id,item_name,timestamp
S001,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:10
S001,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:15
S001,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:22
S001,Q004,0,COURSE-MATH-2026,立体几何体积,2026-05-20 09:30
S001,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:41
S001,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:48
S001,Q007,1,COURSE-MATH-2026,数列通项公式,2026-05-20 09:55
S001,Q008,,COURSE-MATH-2026,导数极值问题,2026-05-20 10:03
S001,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:10
S002,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:08
S002,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:14
S002,Q003,1,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:20
S002,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:28
S002,Q005,1,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:38
S002,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:45
S002,Q007,1,COURSE-MATH-2026,数列通项公式,2026-05-20 09:52
S002,Q008,1,COURSE-MATH-2026,导数极值问题,2026-05-20 10:00
S002,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:08
S003,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:12
S003,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:18
S003,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:25
S003,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:33
S003,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:44
S003,Q006,0,COURSE-MATH-2026,概率古典概型,2026-05-20 09:51
S003,Q007,0,COURSE-MATH-2026,数列通项公式,2026-05-20 09:58
S003,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 10:06
S003,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:13
S004,Q001,0,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:05
S004,Q002,0,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:11
S004,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:18
S004,Q004,0,COURSE-MATH-2026,立体几何体积,2026-05-20 09:25
S004,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:34
S004,Q006,0,COURSE-MATH-2026,概率古典概型,2026-05-20 09:42
S004,Q007,0,COURSE-MATH-2026,数列通项公式,2026-05-20 09:50
S004,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 09:58
S004,Q009,0,COURSE-MATH-2026,向量数量积,2026-05-20 10:06
S005,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:11
S005,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:17
S005,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:24
S005,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:31
S005,Q005,1,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:40
S005,Q006,0,COURSE-MATH-2026,概率古典概型,2026-05-20 09:47
S005,Q007,1,COURSE-MATH-2026,数列通项公式,2026-05-20 09:54
S005,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 10:02
S005,Q009,0,COURSE-MATH-2026,向量数量积,2026-05-20 10:10
S006,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:09
S006,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:16
S006,Q003,1,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:23
S006,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:30
S006,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:39
S006,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:46
S006,Q007,0,COURSE-MATH-2026,数列通项公式,2026-05-20 09:53
S006,Q008,1,COURSE-MATH-2026,导数极值问题,2026-05-20 10:01
S006,Q009,0,COURSE-MATH-2026,向量数量积,2026-05-20 10:09
