sample_id,feature_x,feature_y
S001,10.0,10.0
S002,10.0,10.0
S003,10.0,10.0
S004,1.5230298564080254,0.6116762888408679
S005,-0.2341533747233359,1.030999522495951
S006,-0.2341369569491805,0.9312801191161986
S007,1.5792128155073917,-0.8392175232226385
S008,0.7674347291529088,-0.3092123758512146
S009,-0.4694743859349521,0.3312634314035639
S010,0.5425600435859647,0.9755451271223592
S011,-0.4634176928124622,-0.4791742378452899
S012,-0.4657297535702568,-0.1856589766638171
S013,0.2419622715660341,-1.1063349740060282
S014,-1.913280244657798,-1.1962066240806708
S015,-1.7249178325130328,0.812525822394198
S016,-0.5622875292409727,1.356240028570823
S017,-1.0128311203344238,-0.0720101215803338
S018,0.3142473325952739,1.0035328978920242
S019,-0.9080240755212112,0.3616360250476341
S020,-1.4123037013352917,-0.6451197546051243
S021,1.465648768921554,0.3613956055084139
S022,-0.2257763004865356,1.5380365664659692
S023,0.0675282046879238,-0.0358260391099515
S024,-1.4247481862134568,1.564643655814006
S025,-0.5443827245251827,-2.6197451040897444
S026,0.110922589709866,0.8219025043752238
S027,-1.1509935774223028,0.0870470682381713
S028,0.3756980183456719,-0.2990073504658678
S029,-0.600638689918805,0.0917607765355023
S030,-0.2916937497932768,-1.9875689146008928
S031,-0.6017066122293969,-0.2196718878375119
S032,1.8522781845089376,0.3571125715117464
S033,-0.0134972247379339,1.477894044741516
S034,-1.0577109289559,-0.5182702182736474
S035,0.822544912103189,-0.8084936028931876
S036,-1.2208436499710222,-0.5017570435845365
S037,0.2088635950047554,0.915402117702074
S038,-1.9596701238797756,0.3287511096596844
S039,-1.3281860488984305,-0.5297602037670388
S040,0.1968612358691235,0.5132674331133561
S041,0.7384665799954104,0.0970775493480403
S042,0.1713682811899705,0.9686449905328892
S043,-0.1156482823882405,-0.7020530938773524
S044,-0.3011036955892888,-0.3276621465977682
S045,-1.4785219903674274,-0.3921081531321576
S046,-0.7198442083947086,-1.4635149481321186
S047,-0.4606387709597875,0.296120277064576
S048,1.0571222262189155,0.2610552721798893
S049,0.3436182895684614,0.0051134566424609
S050,-1.763040155362734,-0.2345871333751474
