window,confidence,hs_var,hs_var_pct,param_var,param_var_pct,diff_pct
60,0.9,13058.255573867184,1.3058255573867183,12076.006229431012,1.2076006229431013,7.522056364112653
60,0.95,13991.282677852352,1.3991282677852352,15673.071719925401,1.56730717199254,12.020263479739816
60,0.99,18036.84146954566,1.8036841469545661,22420.568358625336,2.2420568358625337,24.304293501062197
60,0.999,18036.84146954566,1.8036841469545661,29983.81289098312,2.998381289098312,66.23649402036021
120,0.9,12858.467229391823,1.2858467229391823,12461.39318597379,1.246139318597379,3.088035582580196
120,0.95,15147.163559155351,1.5147163559155352,16093.806408969696,1.6093806408969697,6.249637736579194
120,0.99,22439.04326047364,2.2439043260473643,22907.609515224904,2.2907609515224903,2.0881739444597494
120,0.999,22917.112044025595,2.2917112044025596,30545.176726799913,3.0545176726799914,33.285453542838205
252,0.9,11942.518911006571,1.1942518911006572,12222.921642452802,1.2222921642452802,2.3479362564609687
252,0.95,15200.976431310894,1.5200976431310893,15813.327425477995,1.5813327425477994,4.028366183805038
252,0.99,23311.05003042885,2.331105003042885,22548.33156052965,2.254833156052965,3.27191811996283
252,0.999,23645.640898733003,2.3645640898733005,30097.573290815413,3.009757329081541,27.2859273289062
504,0.9,11942.518911006571,1.1942518911006572,12603.543264173977,1.2603543264173978,5.535049666600793
504,0.95,15918.570993956611,1.5918570993956611,16305.263628734634,1.6305263628734634,2.4291918849049217
504,0.99,22439.04326047364,2.2439043260473643,23249.07540621972,2.3249075406219717,3.6099228311259988
504,0.999,77368.79626980334,7.7368796269803335,31032.36886628204,3.1032368866282036,59.8903300006571
