sample_id,prediction_score,threshold,ground_truth,predicted_label,is_pollution,skip_reason
S001,0.92,0.80,positive,positive,,
S002,0.75,0.80,negative,positive,,
S003,0.81,0.80,positive,positive,suspect,
S004,0.45,0.80,negative,negative,confirmed,
S005,0.79,0.80,negative,positive,,
S006,0.88,0.80,positive,positive,,
S007,,0.80,positive,,,
S008,0.95,0.80,positive,positive,,
S009,0.30,0.80,negative,negative,,
S010,0.80,0.80,positive,positive,,
S011,,,,,,测试跳过
S012,0.55,0.80,negative,negative,,
S013,0.99,0.80,positive,positive,,
S014,0.78,0.80,negative,positive,suspect,
S015,0.60,0.80,negative,negative,,
S016,0.82,0.80,positive,positive,,
S017,0.50,0.80,positive,negative,,
S018,0.85,0.80,positive,positive,,
S019,0.77,0.80,positive,positive,,
S020,0.90,0.80,positive,positive,,
