timestamp,temperature,flow_rate,tower_id
2024-06-14 08:00:00,28.0,50.0,CT-001
2024-06-14 08:05:00,28.3,51.5,CT-001
2024-06-14 08:10:00,28.6,53.0,CT-001
2024-06-14 08:15:00,28.9,54.5,CT-001
2024-06-14 08:20:00,29.2,56.0,CT-001
2024-06-14 08:25:00,29.5,57.5,CT-001
2024-06-14 08:30:00,29.8,59.0,CT-001
2024-06-14 08:35:00,30.1,60.5,CT-001
2024-06-14 08:40:00,30.4,62.0,CT-001
2024-06-14 08:45:00,30.7,63.5,CT-001
2024-06-14 08:50:00,31.0,65.0,CT-001
2024-06-14 08:55:00,31.3,66.5,CT-001
2024-06-14 09:00:00,31.6,68.0,CT-001
2024-06-14 09:05:00,31.9,69.5,CT-001
2024-06-14 09:10:00,32.2,71.0,CT-001
2024-06-14 09:15:00,32.5,105.0,CT-001
2024-06-14 09:20:00,32.8,51.5,CT-001
2024-06-14 09:25:00,33.1,53.0,CT-001
2024-06-14 09:30:00,33.4,54.5,CT-001
2024-06-14 09:35:00,33.7,56.0,CT-001
2024-06-14 09:40:00,28.0,57.5,CT-001
2024-06-14 09:45:00,28.3,59.0,CT-001
2024-06-14 09:50:00,28.6,60.5,CT-001
2024-06-14 09:55:00,28.9,62.0,CT-001
2024-06-14 10:00:00,29.2,63.5,CT-001
2024-06-14 10:05:00,36.2,65.0,CT-001
2024-06-14 10:10:00,29.8,66.5,CT-001
2024-06-14 10:15:00,30.1,68.0,CT-001
2024-06-14 10:20:00,30.4,69.5,CT-001
2024-06-14 10:25:00,30.7,71.0,CT-001
2024-06-14 10:30:00,31.0,50.0,CT-001
2024-06-14 10:35:00,31.3,51.5,CT-001
2024-06-14 10:40:00,31.6,53.0,CT-001
2024-06-14 10:45:00,31.9,54.5,CT-001
2024-06-14 10:50:00,32.2,56.0,CT-001
2024-06-14 10:55:00,32.5,57.5,CT-001
2024-06-14 11:00:00,32.8,59.0,CT-001
2024-06-14 11:05:00,33.1,60.5,CT-001
2024-06-14 11:10:00,33.4,62.0,CT-001
2024-06-14 11:15:00,33.7,63.5,CT-001
2024-06-14 11:20:00,33.5,65.0,CT-001
2024-06-14 11:25:00,28.3,66.5,CT-001
2024-06-14 11:30:00,28.6,68.0,CT-001
2024-06-14 11:35:00,28.9,69.5,CT-001
2024-06-14 11:40:00,29.2,71.0,CT-001
2024-06-14 11:45:00,29.5,50.0,CT-001
2024-06-14 11:50:00,29.8,51.5,CT-001
2024-06-14 11:55:00,30.1,53.0,CT-001
2024-06-14 12:00:00,30.4,54.5,CT-001
2024-06-14 12:05:00,30.7,56.0,CT-001
2024-06-14 12:10:00,31.0,57.5,CT-001
2024-06-14 12:15:00,31.3,59.0,CT-001
2024-06-14 12:20:00,31.6,60.5,CT-001
2024-06-14 12:25:00,31.9,62.0,CT-001
2024-06-14 12:30:00,32.2,63.5,CT-001
2024-06-14 12:35:00,31.8,65.0,CT-001
2024-06-14 12:40:00,32.8,66.5,CT-001
2024-06-14 12:45:00,33.1,68.0,CT-001
2024-06-14 12:50:00,33.4,69.5,CT-001
2024-06-14 12:55:00,33.7,71.0,CT-001
2024-06-14 13:00:00,28.0,50.0,CT-001
2024-06-14 13:05:00,28.3,51.5,CT-001
2024-06-14 13:10:00,28.6,53.0,CT-001
2024-06-14 13:15:00,28.9,54.5,CT-001
2024-06-14 13:20:00,29.2,56.0,CT-001
2024-06-14 13:25:00,29.5,57.5,CT-001
2024-06-14 13:30:00,29.8,59.0,CT-001
2024-06-14 13:35:00,30.1,60.5,CT-001
2024-06-14 13:40:00,30.4,62.0,CT-001
2024-06-14 13:45:00,30.7,63.5,CT-001
2024-06-14 13:50:00,29.5,65.0,CT-001
2024-06-14 13:55:00,31.3,66.5,CT-001
2024-06-14 14:00:00,31.6,68.0,CT-001
2024-06-14 14:05:00,31.9,69.5,CT-001
2024-06-14 14:10:00,32.2,71.0,CT-001
2024-06-14 14:15:00,32.5,50.0,CT-001
2024-06-14 14:20:00,32.8,51.5,CT-001
2024-06-14 14:25:00,33.1,53.0,CT-001
2024-06-14 14:30:00,33.4,54.5,CT-001
2024-06-14 14:35:00,33.7,56.0,CT-001
2024-06-14 14:40:00,28.0,8.5,CT-001
2024-06-14 14:45:00,28.3,59.0,CT-001
2024-06-14 14:50:00,28.6,60.5,CT-001
2024-06-14 14:55:00,28.9,62.0,CT-001
2024-06-14 15:00:00,29.2,63.5,CT-001
2024-06-14 15:05:00,29.5,65.0,CT-001
2024-06-14 15:10:00,29.8,66.5,CT-001
2024-06-14 15:15:00,30.1,68.0,CT-001
2024-06-14 15:20:00,30.4,69.5,CT-001
2024-06-14 15:25:00,30.7,71.0,CT-001
2024-06-14 15:30:00,31.0,50.0,CT-001
2024-06-14 15:35:00,31.3,51.5,CT-001
2024-06-14 15:40:00,31.6,53.0,CT-001
2024-06-14 15:45:00,31.9,54.5,CT-001
2024-06-14 15:50:00,32.2,56.0,CT-001
2024-06-14 15:55:00,32.5,57.5,CT-001
2024-06-14 16:00:00,32.8,59.0,CT-001
2024-06-14 16:05:00,33.1,60.5,CT-001
2024-06-14 16:10:00,33.4,62.0,CT-001
2024-06-14 16:15:00,33.7,63.5,CT-001
