time,altitude,water_volume,launch_angle,wind_speed,air_pressure
0.0,0.14901424590336979,500,85.0,2.5,101325
0.05,1.6835207813272872,500,85.0,2.5,101325
0.1,3.6079630222496646,500,85.0,2.5,101325
0.15000000000000002,5.523371364801633,500,85.0,2.5,101325
0.2,6.61364827287174,500,85.0,2.5,101325
0.25,8.196171040303257,500,85.0,2.5,101325
0.30000000000000004,10.288224006459277,500,85.0,2.5,101325
0.35000000000000003,11.55869791080947,500,85.0,2.5,101325
0.4,12.668006468096664,500,85.0,2.5,101325
0.45,14.418772454880195,500,85.0,2.5,101325
0.5,15.531295945117385,500,85.0,2.5,101325
0.55,16.912453947916287,500,85.0,2.5,101325
0.6000000000000001,18.474509176167413,500,85.0,2.5,101325
0.65,19.145928810950892,500,85.0,2.5,101325
0.7000000000000001,20.489011555189737,500,85.0,2.5,101325
0.75,22.093281592001272,500,85.0,2.5,101325
0.8,23.1828207403331,500,85.0,2.5,101325
0.8500000000000001,24.775171497672044,500,85.0,2.5,101325
0.9,25.572535371092556,500,85.0,2.5,101325
0.9500000000000001,26.555397785640228,500,85.0,2.5,101325
1.0,28.523303895942203,500,85.0,2.5,101325
1.05,29.091034422467313,500,85.0,2.5,101325
1.1,30.225076039549773,500,85.0,2.5,101325
1.1500000000000001,30.794581074922405,500,85.0,2.5,101325
1.2000000000000002,32.04725281514956,500,85.0,2.5,101325
1.25,33.20400879119598,500,85.0,2.5,101325
1.3,33.757420253594276,500,85.0,2.5,101325
1.35,35.119447740644176,500,85.0,2.5,101325
1.4000000000000001,35.70280445561071,500,85.0,2.5,101325
1.4500000000000002,36.64417966589078,500,85.0,2.5,101325
1.5,37.372490082189834,500,85.0,2.5,101325
1.55,38.90280370774375,500,85.0,2.5,101325
1.6,39.11016732560528,500,85.0,2.5,101325
1.6500000000000001,39.5371446832243,500,85.0,2.5,101325
1.7000000000000002,40.81476865217931,500,85.0,2.5,101325
1.75,40.88875891280976,500,85.0,2.5,101325
1.8,41.9782847383916,500,85.0,2.5,101325
1.85,41.96208566447289,500,85.0,2.5,101325
1.9000000000000001,42.75977379533732,500,85.0,2.5,101325
1.9500000000000002,43.799540956693455,500,85.0,2.5,101325
2.0,44.51840773786678,500,85.0,2.5,101325
2.0500000000000003,44.87891195256905,500,85.0,2.5,101325
2.1,45.29779972859198,500,85.0,2.5,101325
2.15,45.7216195947698,500,85.0,2.5,101325
2.2,45.8224132357506,500,85.0,2.5,101325
2.25,46.47869149692695,500,85.0,2.5,101325
2.3000000000000003,46.95987178885677,500,85.0,2.5,101325
2.35,47.79344482045466,500,85.0,2.5,101325
2.4000000000000004,47.93254148253053,500,85.0,2.5,101325
2.45,47.628666718522865,500,85.0,2.5,101325
2.5,48.55796824448856,500,85.0,2.5,101325
2.5500000000000003,56.62348554670858,500,85.0,2.5,101325
2.6,48.78935984304758,500,85.0,2.5,101325
2.6500000000000004,49.40457572250406,500,85.0,2.5,101325
2.7,49.73426551025206,500,85.0,2.5,101325
2.75,49.8835402511585,500,85.0,2.5,101325
2.8000000000000003,49.50691581250628,500,85.0,2.5,101325
2.85,49.79580830087151,500,85.0,2.5,101325
2.9000000000000004,50.0932353418205,500,85.0,2.5,101325
2.95,50.367220455039835,500,85.0,2.5,101325
3.0,49.98694086307768,500,85.0,2.5,101325
3.0500000000000003,50.106583190083875,500,85.0,2.5,101325
3.1,49.837433150359814,500,85.0,2.5,101325
3.1500000000000004,49.79300200367645,500,85.0,2.5,101325
3.2,50.35364271362355,500,85.0,2.5,101325
3.25,50.450282706924305,500,85.0,2.5,101325
3.3000000000000003,49.930855281217205,500,85.0,2.5,101325
3.35,50.13810831452353,500,85.0,2.5,101325
3.4000000000000004,49.80569637778424,500,85.0,2.5,101325
3.45,49.3394224550925,500,85.0,2.5,101325
3.5,49.45275873738061,500,85.0,2.5,101325
3.5500000000000003,49.59279924744604,500,85.0,2.5,101325
3.6,48.88339746189652,500,85.0,2.5,101325
3.6500000000000004,49.102050920524704,500,85.0,2.5,101325
3.7,47.56105379901238,500,85.0,2.5,101325
3.75,48.28373047414797,500,85.0,2.5,101325
3.8000000000000003,47.72937954023598,500,85.0,2.5,101325
3.85,47.25565712244882,500,85.0,2.5,101325
3.9000000000000004,46.99103906561671,500,85.0,2.5,101325
3.95,45.961522961887134,500,85.0,2.5,101325
4.0,46.062384397127964,500,85.0,2.5,101325
4.05,45.78220404279894,500,85.0,2.5,101325
4.1000000000000005,45.64160134290436,500,85.0,2.5,101325
4.15,44.542384154584504,500,85.0,2.5,101325
4.2,43.9315132569714,500,85.0,2.5,101325
