"id","recordId","recordType","dirtyType","fieldName","expectedValue","actualValue","description","status","fixedBy","fixedAt","fixRemark","detectedAt","importBatch"
"57528074-55e7-4d51-a525-43415795907e","b2ec379c-9d33-4f90-8746-ebd83e6cbc36","checkin","missing_field","orderNo",,,"入住单缺少必填字段: orderNo","fixed","系统管理员","2026-05-24T14:29:20.185Z","批量修复: 请补充orderNo字段的值","2026-05-24T14:25:50.492Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"de088c84-bdf5-46a4-bbcf-6fb8d7d80718","56481b86-915e-4af1-ac81-2c9eda36ee49","checkin","invalid_data","checkoutDate","晚于入住日期","2026-05-20","退房日期不晚于入住日期","fixed","系统管理员","2026-05-24T14:29:20.189Z","批量修复: 请修正退房日期，确保晚于入住日期","2026-05-24T14:25:50.493Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"8bf93cb2-40ce-4d1c-8cc4-d30f04511e4d","2379f527-2363-479e-9ee0-0b5d6459561c","checkin","cross_day","checkoutDate",,,"入住天数异常: 45天","fixed","系统管理员","2026-05-24T14:29:20.190Z","批量修复: 请确认是否为长住客，如不是请修正日期","2026-05-24T14:25:50.493Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"48b64f32-7579-4bcd-83f7-fa114b3c0382","e927cf86-09d2-42c7-b524-4dda527d9b63","checkin","invalid_data","roomRate",,,"房价异常: -680","fixed","系统管理员","2026-05-24T14:29:20.190Z","批量修复: 请修正房价，确保为正数","2026-05-24T14:25:50.494Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"c061220c-fde8-499e-b239-89aced5ae829","5994240e-4c4d-4ef0-b102-3acff2f6c772","checkin","amount_conflict","depositAmount",,,"押金金额为负数: -500","fixed","系统管理员","2026-05-24T14:29:20.190Z","批量修复: 请确认押金金额是否正确","2026-05-24T14:25:50.494Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"584289f2-c879-4e8c-b322-32bb52a1379c","df70c8b5-111d-464e-8008-d8136b1ec8d2","checkin","amount_conflict","depositAmount","0","1000","入住单押金金额(1000)与押金流水合计(0)不一致: 订单号ORD006","fixed","系统管理员","2026-05-24T14:29:20.191Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.949Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"4413e1a4-95a7-4666-9426-7f7cfba2a7f2","b2ec379c-9d33-4f90-8746-ebd83e6cbc36","checkin","amount_conflict","depositAmount","0","1500","入住单押金金额(1500)与押金流水合计(0)不一致: 订单号","fixed","系统管理员","2026-05-24T14:29:20.191Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.950Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"dc7fec34-cd95-4fd2-8ca1-d90457c59ea5","2c77e734-fb1b-4718-ae71-b08791f97e39","checkin","amount_conflict","depositAmount","0","2000","入住单押金金额(2000)与押金流水合计(0)不一致: 订单号ORD008","fixed","系统管理员","2026-05-24T14:29:20.191Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.950Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"ffa2513b-d92d-4d7c-a283-caa2e5122631","56481b86-915e-4af1-ac81-2c9eda36ee49","checkin","amount_conflict","depositAmount","0","1000","入住单押金金额(1000)与押金流水合计(0)不一致: 订单号ORD009","fixed","系统管理员","2026-05-24T14:29:20.192Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.950Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"978bef49-fd57-4e13-84fb-4e420ecca3b1","2379f527-2363-479e-9ee0-0b5d6459561c","checkin","amount_conflict","depositAmount","0","1500","入住单押金金额(1500)与押金流水合计(0)不一致: 订单号ORD010","fixed","系统管理员","2026-05-24T14:29:20.192Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.950Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"548ee2df-1b27-4170-92d9-31747277d8a8","e927cf86-09d2-42c7-b524-4dda527d9b63","checkin","amount_conflict","depositAmount","0","2000","入住单押金金额(2000)与押金流水合计(0)不一致: 订单号ORD011","fixed","系统管理员","2026-05-24T14:29:20.192Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.950Z","65a71772-32cf-445e-85b7-0115c067cc7f"
"3b8e56d0-5837-430d-9ce9-79f46996fe59","5994240e-4c4d-4ef0-b102-3acff2f6c772","checkin","amount_conflict","depositAmount","0","-500","入住单押金金额(-500)与押金流水合计(0)不一致: 订单号ORD001","fixed","系统管理员","2026-05-24T14:29:20.192Z","批量修复: 请核入住单押金金额与押金流水","2026-05-24T14:29:01.950Z","65a71772-32cf-445e-85b7-0115c067cc7f"
