timestamp,value
2026-05-17 00:00:00,700.84
2026-05-17 01:00:00,755.53
2026-05-17 02:00:00,794.98
2026-05-17 03:00:00,825.0
2026-05-17 04:00:00,886.28
2026-05-17 05:00:00,853.47
2026-05-17 06:00:00,931.27
2026-05-17 07:00:00,899.22
2026-05-17 08:00:00,863.82
2026-05-17 09:00:00,847.79
2026-05-17 10:00:00,753.84
2026-05-17 11:00:00,803.47
2026-05-17 12:00:00,795.03
2026-05-17 13:00:00,664.17
2026-05-17 14:00:00,720.59
2026-05-17 15:00:00,544.53
2026-05-17 16:00:00,505.22
2026-05-17 17:00:00,528.03
2026-05-17 18:00:00,534.03
2026-05-17 19:00:00,526.35
2026-05-17 20:00:00,607.85
2026-05-17 21:00:00,580.22
2026-05-17 22:00:00,712.23
2026-05-17 23:00:00,662.85
2026-05-18 00:00:00,974.79
2026-05-18 01:00:00,1126.79
2026-05-18 02:00:00,1176.59
2026-05-18 03:00:00,1232.07
2026-05-18 04:00:00,1367.13
2026-05-18 05:00:00,1357.01
2026-05-18 06:00:00,1300.53
2026-05-18 07:00:00,1378.55
2026-05-18 08:00:00,1297.3
2026-05-18 09:00:00,1283.7
2026-05-18 10:00:00,1212.38
2026-05-18 11:00:00,1185.63
2026-05-18 12:00:00,1039.31
2026-05-18 13:00:00,913.09
2026-05-18 14:00:00,970.99
2026-05-18 15:00:00,913.07
2026-05-18 16:00:00,805.99
2026-05-18 17:00:00,685.35
2026-05-18 18:00:00,801.32
2026-05-18 19:00:00,718.57
2026-05-18 20:00:00,758.8
2026-05-18 21:00:00,812.19
2026-05-18 22:00:00,852.21
2026-05-18 23:00:00,936.24
2026-05-19 00:00:00,1143.86
2026-05-19 01:00:00,1064.69
2026-05-19 02:00:00,1252.88
2026-05-19 03:00:00,1231.45
2026-05-19 04:00:00,1343.1
2026-05-19 05:00:00,1314.86
2026-05-19 06:00:00,1391.59
2026-05-19 07:00:00,1330.21
2026-05-19 08:00:00,1314.91
2026-05-19 09:00:00,1342.98
2026-05-19 10:00:00,1219.94
2026-05-19 11:00:00,1158.03
2026-05-19 12:00:00,280.57
