datetime,symbol,direction,volume,price,match_price,amount,fee,slippage,net_amount,match_method,is_suspended,fee_commission,fee_rate_used,fee_total,slip_model,slip_bps,slip_slippage_per_share,fee_stamp_duty
2024-01-01,000001.SZ,1,2705,9.562868,9.56,25859.800000000003,7.7579400000000005,7.75794,25875.315880000002,限价单-未成交,False,7.7579400000000005,0.0003,7.7579400000000005,fixed,3,0.002868,
2024-01-01,600000.SH,1,880,8.0024,8.0,7040.0,5.0,2.1119999999999997,7047.112,市价单-开盘价成交,False,5.0,0.0003,5.0,fixed,3,0.0024,
2024-01-01,000001.SZ,-1,2297,9.997,10.0,22970.0,52.830999999999996,6.890999999999999,22910.278000000002,市价单-开盘价成交,False,29.860999999999997,0.0013,52.830999999999996,fixed,3,0.0029999999999999996,22.97
2024-01-02,600519.SH,-1,7645,1736.148999,1736.67,13276842.15,30536.736945,3983.0526449999993,13242322.360410001,限价单-挂单价格成交,False,17259.894795,0.0013,30536.736945,fixed,3,0.5210009999999999,13276.84215
2024-01-03,000001.SZ,-1,2409,10.126961000000001,10.13,24403.170000000002,48.806340000000006,7.320951,24347.042709,市价单-开盘价成交,False,24.403170000000003,0.001,48.806340000000006,fixed,3,0.003039,24.403170000000003
2024-01-03,000001.SZ,1,2771,9.982994,9.98,27654.58,8.296374,8.296373999999998,27671.172748000005,限价单-挂单价格成交,False,8.296374,0.0003,8.296374,fixed,3,0.0029939999999999997,
2024-01-04,600519.SH,-1,7098,1680.845595,1681.35,11934222.299999999,23868.4446,3580.266689999999,11906773.588709999,市价单-开盘价成交,False,11934.2223,0.001,23868.4446,fixed,3,0.5044049999999999,11934.2223
2024-01-04,000002.SZ,-1,3891,14.785563,14.79,57547.89,115.09578,17.264366999999996,57415.52985299999,市价单-开盘价成交,False,57.54789,0.001,115.09578,fixed,3,0.004436999999999999,57.54789
2024-01-04,600000.SH,1,8951,7.9123730000000005,7.91,70802.41,21.240723,21.240722999999996,70844.891446,市价单-开盘价成交,False,21.240723,0.0003,21.240723,fixed,3,0.0023729999999999997,
2024-01-04,000001.SZ,-1,6629,9.767069,9.77,64765.329999999994,129.53065999999998,19.429598999999996,64616.369740999995,限价单-挂单价格成交,False,64.76532999999999,0.001,129.53065999999998,fixed,3,0.0029309999999999996,64.76532999999999
2024-01-05,000001.SZ,-1,5278,9.667099,9.67,51038.26,102.07652,15.311478,50920.872002,限价单-挂单价格成交,False,51.03826,0.001,102.07652,fixed,3,0.002901,51.03826
2024-01-05,600519.SH,-1,1808,1686.333948,1686.84,3049806.7199999997,6099.613439999999,914.9420159999999,3042792.164544,市价单-开盘价成交,False,3049.8067199999996,0.001,6099.613439999999,fixed,3,0.506052,3049.8067199999996
2024-01-05,000001.SZ,-1,649,9.677096,9.68,6282.32,12.564639999999999,1.8846959999999997,6267.870664,市价单-开盘价成交,False,6.2823199999999995,0.001,12.564639999999999,fixed,3,0.0029039999999999995,6.2823199999999995
2024-01-05,600000.SH,1,1550,7.90237,7.9,12245.0,5.0,3.6734999999999998,12253.6735,限价单-挂单价格成交,False,5.0,0.0003,5.0,fixed,3,0.0023699999999999997,
