customer_id,age,income,spending_score,purchase_frequency,tenure
C0001,32.483570765056164,68967.92982653948,89.7511973341775,29.547083202350652,4.047090574820964
C0002,29.308678494144075,47546.11883997129,78.52942618497862,13.007162130904295,15.274520555767385
C0003,33.23844269050346,42462.6383564251,71.74502803207488,22.814846183452854,15.738255577492886
C0004,37.61514928204013,41104.85570374477,76.78614158347007,16.746787154390866,5.779829302775552
C0005,28.829233126383322,41841.89715034562,84.12931454275625,17.56437308117652,10.971937217758953
C0006,28.8293152152541,49228.98290585896,74.36275447196026,17.038030378805654,10.885677402012625
C0007,37.896064077536955,53411.519748166436,71.77779604433569,15.68004615160092,7.7774649158465365
C0008,33.837173645764544,52766.90799330019,82.43687211491913,20.242608139724133,9.666549937227375
C0009,27.65262807032524,58271.83249036024,82.44966571108722,15.84524941794481,8.668272463602513
C0010,32.712800217929825,50130.01891877907,74.9305682462887,21.352284128899193,17.256811330270867
C0011,27.682911535937688,64535.34077157317,75.28961694381677,19.748809452754315,14.807035179442384
C0012,27.671351232148716,47353.43166762044,82.32049937357637,18.80525976566795,15.814665284982476
C0013,31.20981135783017,77201.69166589619,65.51915658502676,15.462181689792011,14.165016192129706
C0014,20.43359877671101,56256.67347765006,65.92536225623445,17.116143347158335,8.612844686348312
C0015,21.375410837434835,41428.42443583717,72.81555778747564,23.77695612912878,10.42643920116068
C0016,27.188562353795135,39291.075019388874,77.86552848288153,22.504585938121902,13.468123683683753
C0017,24.93584439832788,54824.72415243185,83.10907565598005,15.112223776007244,8.333616573324164
C0018,31.571236662976368,47765.372146741494,94.75356216949552,20.49666152714613,14.138995290517164
C0019,25.459879622393945,57140.00494092092,88.5765962320202,23.756935616858947,11.279023805525595
C0020,22.938481493323543,54732.376245735446,78.40061470036574,11.652973594393142,10.875537577351208
C0021,37.32824384460777,49271.71087343127,79.80983792097311,22.716800961899676,14.132879904610474
C0022,28.871118497567323,41532.06281931595,69.97470635362191,16.686881205270765,13.33278993445812
C0023,30.33764102343962,34851.52775314135,79.8148686400761,22.852993342965796,10.91710150254276
C0024,22.87625906893272,45534.85047932979,77.11341361079862,16.183704217287417,15.477989410092745
C0025,27.278086377374088,58563.98794323472,83.22718560338089,10.975589496677404,8.756810017200308
