2026-05-25 18:18:23 | INFO | system | INIT | 工作区初始化
2026-05-25 18:18:28 | INFO | 李老师 | IMPORT | 导入文件 借阅申请.csv, 来源: 借阅申请, 记录数: 4
2026-05-25 18:19:11 | INFO | 李老师 | IMPORT | 导入文件 快递单.csv, 来源: 快递单, 记录数: 4
2026-05-25 18:19:11 | INFO | 李老师 | IMPORT | 导入文件 读者赔偿记录.csv, 来源: 读者赔偿记录, 记录数: 2
2026-05-25 18:19:12 | INFO | 张老师 | IMPORT | 导入文件 客服备注.csv, 来源: 客服备注, 记录数: 3
2026-05-25 18:20:42 | INFO | 王老师 | CHECK | 校验 13 条记录, 通过: 52, 失败: 13, 自动修复: False
2026-05-25 18:22:11 | INFO | 王老师 | VIEW | 查看报表
2026-05-25 18:23:31 | INFO | 王老师 | FIX | 修正记录 da966487-2653-49cb-9796-794cf0156e47, 字段: express_fee, 0.0 -> 10.0, 原因: 修正快递费
2026-05-25 18:23:31 | INFO | system | VIEW | 查看报表
2026-05-25 18:24:09 | INFO | 王老师 | RECALC | 重新计算 13 条记录, 更新: 7, 原因: 费用重新汇总
2026-05-25 18:25:24 | INFO | 王老师 | VIEW | 查看变更历史
2026-05-25 18:25:25 | INFO | 王老师 | EXPORT | 导出文件 /Users/mac/pro/solo/workspaces/y11511/.lib-inspect/exports/export_20260525_182524.xlsx, 格式: xlsx, 记录数: 8, 包含失败: False
