,高度相关1,高度相关2,高度相关3,高度相关4,高度相关5
2023-01-02,-0.03693428586466427,-0.037287037370493256,-0.03871880033346168,-0.03897811245099381,-0.03570490521702738
2023-01-03,-0.022127302096203866,-0.0203934815897146,-0.022796695605035333,-0.020664072747244727,-0.018419642158154764
2023-01-04,0.031120965264378093,0.029123806027159565,0.030463031604304382,0.029467303314532102,0.029964394032981984
2023-01-05,0.036502824766457644,0.03682537645898387,0.037578233576903,0.03516732947159075,0.035122289216774696
2023-01-06,-0.004845709593468101,-0.005269166694813098,-0.004503189870246637,-0.00174969947219742,-0.0038541995167894467
2023-01-09,-0.023753825122070655,-0.024711626553027725,-0.028718062477408955,-0.023471102882089468,-0.02315945675934943
2023-01-10,0.03992914468651348,0.04275725312197317,0.04020387356136478,0.04211221078967985,0.03938787322227325
2023-01-11,0.02830263492991478,0.031123213455757998,0.03164138994243426,0.031093488447754725,0.029520786718538816
2023-01-12,0.012779141630982383,0.014117529260406126,0.013489153694999584,0.013943941816443085,0.012238709354336193
2023-01-13,-0.013904611149316081,-0.018600393651857963,-0.015272926384574963,-0.013884264792828477,-0.015286230793250609
2023-01-16,-0.0013856352708903948,-0.002037180910086693,0.0010915884853317773,-0.0038265366672840806,-0.002920835337520022
2023-01-17,-0.004002317151880058,-0.0007318941058726187,-0.002447666348814823,-0.005143293137917106,-0.0038278170316664224
2023-01-18,0.005388379804118967,0.005197448107844485,0.008574805209425114,0.0038735398337845445,0.009834587803780303
2023-01-19,0.030676488142995968,0.031201752103834118,0.028094149738576206,0.028720147324468502,0.026153725133577298
2023-01-20,0.01653901600861446,0.018575650518034368,0.020180466946310857,0.015374027189143161,0.016857328948777534
2023-01-23,-0.021850119980160208,-0.024339099944080133,-0.020364823056178365,-0.022995502203180383,-0.02193830224204921
2023-01-24,0.026626030256567,0.025951251988951405,0.027515839029429646,0.02709870984325471,0.026786213235833425
2023-01-25,0.004805719556902421,0.006901692141829017,0.009569877337247677,0.006542417265941361,0.008254879230085364
2023-01-26,0.0109608720668714,0.014056838795765863,0.011546579279236191,0.010787466062114523,0.012262573102260253
2023-01-27,0.031714615854399206,0.03123084884291135,0.02981682662968086,0.026265416065792198,0.028938255882796186
2023-01-30,-0.021628204972467552,-0.021880532531113828,-0.025919192157232516,-0.024012240686310766,-0.02235976051856846
2023-01-31,0.00035607024490512135,-0.005108767216329151,-0.0010407595250889756,-0.00043041403437135396,0.0009827124029031676
2023-02-01,-0.009243375858709428,-0.009463948389566691,-0.01222897204058817,-0.014445095301430916,-0.011415196541307104
2023-02-02,-0.029353924856892,-0.028570279452260258,-0.029936090302713547,-0.03049850686170565,-0.030597909210537188
2023-02-03,0.005821962058576836,0.006674078964991157,0.01027233860375106,0.0050490835405146445,0.0101637571335181
2023-02-06,0.04958707472270435,0.052881995249878626,0.047417501012693396,0.05140293943401777,0.048757590759793225
2023-02-07,-0.03963208927396343,-0.03636448680529317,-0.03478261131292312,-0.03849143776730205,-0.03979958681103186
2023-02-08,-0.0008293017496593168,-0.0008204828785437686,0.00045102703411959095,0.00125357692173957,-0.0007644425835343947
2023-02-09,0.016521865331083994,0.013259328190566053,0.012118005689481669,0.009587723983289814,0.012285539660863133
2023-02-10,0.0017887901423013506,0.004382173625686564,0.003386531281257331,0.00010282578985838873,0.002806072805945698
2023-02-13,-0.0009194987068567011,0.0007935016684608577,-0.0004875531154866894,-0.0007408677416918523,-0.002142389061084481
2023-02-14,-0.025207703258069585,-0.023485317467504166,-0.028649882063875785,-0.026683205923350398,-0.027529464766428965
2023-02-15,0.0054140410962555206,0.007116179210104848,0.0034617862853611246,-0.00012487387613560347,0.003831293368754332
2023-02-16,-0.013308332076283715,-0.014060019734418769,-0.014278907044697375,-0.015695266144067486,-0.0176933410127581
2023-02-17,-0.04276784545632213,-0.045466997719640315,-0.03943024063281015,-0.04265741968286203,-0.044959730704678964
2023-02-20,0.02266907391549736,0.02370595599704744,0.023412840566231115,0.026125511961334523,0.02426467674976271
2023-02-21,0.017704452919023794,0.022948597767152416,0.019266333059881294,0.020705395748778645,0.01795126338195133
2023-02-22,0.0017594507925106427,0.0016554395193079862,-0.0027460790471707103,0.005063769757942876,0.00361450845886669
2023-02-23,0.0037871031318220763,0.0023769542832023406,0.005276616991721155,0.004754889162942845,0.00529283166124051
2023-02-24,0.021869515046699407,0.02249884223292308,0.02438097165309484,0.02262256666456852,0.019387049256491345
