,资产1,资产2,资产3,资产4,资产5,资产6,资产7,资产8
2023-01-02,0.009934283060224654,-0.002765286023423693,0.01295377076201385,0.03046059712816051,-0.004683067494466719,-0.004682739138983611,0.03158425631014783,0.015348694583058176
2023-01-03,-0.009389487718699043,0.010851200871719294,-0.009268353856249245,-0.009314595071405137,0.004839245431320682,-0.03826560489315596,-0.03449835665026066,-0.011245750584819454
2023-01-04,-0.020256622406688476,0.006284946651905478,-0.01816048151042422,-0.02824607402670583,0.029312975378431083,-0.004515526009730713,0.0013505640937584767,-0.028494963724269136
2023-01-05,-0.010887654490503653,0.002218451794197322,-0.023019871548446057,0.007513960366913439,-0.0120127737983761,-0.005833874995865536,-0.012034132244587938,0.03704556369017876
2023-01-06,-0.0002699444947586784,-0.021154218579118006,0.01645089824206378,-0.024416872999420445,0.0041772719000951085,-0.039193402477595514,-0.02656372097796861,0.003937224717382471
2023-01-09,0.014769331599908208,0.00342736562379941,-0.0023129656477648107,-0.0060220739117857755,-0.02957043980734855,-0.014396884167894173,-0.00921277541919575,0.021142444524378315
2023-01-10,0.006872365791369228,-0.03526080310725468,0.0064816793878959,-0.007701645608326331,-0.013538440006119175,0.012233525776817357,0.02061999044991902,0.018625602382323973
2023-01-11,-0.01678435046445277,-0.006184247517024292,0.006625268628071279,0.019510902542447184,-0.0095834847569058,-0.0037131795332763424,-0.022126699480120565,-0.023924132481613417
2023-01-12,0.016250516447883962,0.02712480057141646,-0.001440202431606677,0.020070657957840483,0.007232720500952683,-0.012902395092102486,0.0072279121101682785,0.030760731329319384
2023-01-13,-0.0007165207821990308,0.03129287311628012,-0.05239490208179489,0.01643805008750448,0.0017409413647634243,-0.005980147009317348,0.001835215530710046,-0.03975137829201786
2023-01-16,-0.004393437756750239,0.007142251430234928,0.029557880894830323,-0.010365404365472949,-0.016169872057863754,-0.010035140871690731,0.018308042354041484,0.006575022193193689
2023-01-17,-0.010595204075340776,0.010265348662267122,0.0019415509869608078,0.019372899810657786,-0.014041061877547048,-0.006553242931955364,-0.007842163062643152,-0.029270298962642372
2023-01-18,0.0059224055412915215,0.005221105443597786,0.0001022691328492178,-0.004691742667502939,-0.028307414841008287,-0.00841290645530718,-0.00685429033053539,-0.01604554538443238
2023-01-19,-0.003225714233320183,0.008081017136290768,0.0377237180242106,0.0034915562566367794,0.005151007814455287,-0.0014889183153233444,-0.03837542430598083,-0.0005302775089843375
2023-01-20,0.0012046041988205288,0.049264842249705725,-0.0038472192956224504,0.006030946846672249,-0.0006942353941048662,-0.02337356075239064,0.022856456290300413,0.015038660653735483
2023-01-23,0.01582063894086094,-0.018187749095894778,0.028055886218721984,-0.028037021255845618,0.011737141876005407,0.04380911251619957,-0.019810726502613767,-0.011325954592055439
2023-01-24,0.0019930273017528246,-0.010069513082323985,-0.031013268621322653,0.0013712594961205467,-0.0212460742745221,0.009471848612703632,-0.018388484684676062,0.03099868810035079
2023-01-25,-0.01566506584672474,-0.006441230324113512,0.016270344347393394,-0.024617286328679103,0.004549198692082588,0.026142855085648564,-0.03214966469122455,0.003692677170646084
2023-01-26,0.005197655884968471,0.015636457435546206,-0.02473901421756164,-0.026409132261685526,0.010438831312337953,0.005939693464663721,0.005009857006917531,0.006928964189939514
2023-01-27,-0.013600494431569816,0.004645073943220071,0.0058614494659736255,-0.014287028360527356,0.03731549022289513,0.00947665841823575,-0.023826069944052973,0.013131072172676594
2023-01-30,-0.01949363340454643,0.01574169207484904,0.023171911580148082,-0.01641364636703421,0.019267522584886437,0.008255618538729966,0.0164412031998898,0.03793585965307895
2023-01-31,-0.00490776232005741,-0.015074723287149792,-0.017790288592510466,-0.016316205699308767,-0.001542034188282084,0.006823039496332878,0.005533815986600381,0.016543664980720477
2023-02-01,0.0002600378375581404,0.029070681543146338,-0.005293136664759121,0.05440338333179238,0.012513346955300125,-0.01714315112832565,-0.021417849961222247,0.009649448304863707
2023-02-02,-0.004469255706517018,0.01428000988184184,0.009464752491470897,-0.0014565782531374555,-0.0169358743613681,-0.030296944493717292,-0.008930299041340422,0.017127975886469447
2023-02-03,0.004281874882604079,-0.02491477557423976,0.00346361851702364,0.007706347594576736,-0.01767714872402266,0.0030745021189105583,0.0011641743689199979,-0.022859405956612462
2023-02-06,0.007155747206965666,0.011215690527364689,0.021661024863505542,0.02107604104069806,-0.027553387359141823,-0.018756500798302458,0.010300705344173195,0.010275719018244176
2023-02-07,0.010300953726120958,0.07705462981309442,0.01141781021386334,0.02271131280361198,0.019080035269864046,0.01302782502611596,-0.006305384892806912,0.015179384409865349
2023-02-08,-0.015456504290751436,-0.004736372134800178,-0.00970727095658207,0.0016374827877264511,0.046293171333470176,-0.03734530385183496,0.01372520380749027,-0.03225431742379303
2023-02-09,-0.00943863731578867,0.021779011939347323,0.0012856003819092553,-0.021554895558586123,-0.014306074185199365,0.013591954978693517,-0.014607332634342734,0.004329171791639498
2023-02-10,0.0009114367980762757,-0.013032006952116343,0.04287888178650651,0.012678380446360224,-0.04050285173315214,0.003729086295388553,-0.01323572929536776,0.01704866669592448
2023-02-13,-0.015850414768654012,-0.0022947288293379805,0.010099745579609144,0.01731510388340243,-0.024005928141115525,-0.006690024716818968,-0.009498906223219123,-0.013066584651474238
2023-02-14,0.03530908480562194,0.008099634219219111,-0.025217679086700903,0.018357238941095522,0.04244312394025267,0.02064930521102294,-0.030387399319080268,-0.009684681457325027
2023-02-15,0.025338222983732454,-0.014153389312375616,0.008876388562924569,0.015492681068586736,-0.01853860943156166,-0.0011905071212360016,-0.06482534680138145,-0.020487752826685798
2023-02-16,-0.005051363027863206,-0.02495566363929699,0.03264822607863271,-0.028602827559212653,-0.008800889733939676,0.002614811545721827,0.02882546578132231,-0.028717243023588787
2023-02-17,0.02326327504309919,0.000204661220391741,-0.01963017302095902,0.009242069485265415,0.003981193911469401,-0.012004337543175893,0.0013960416998003782,-0.007706271937235204
2023-02-20,0.0022703469050249607,0.013242613490420933,0.03172033632290704,-0.02475630997653698,0.04266066749312533,-0.03904175599045004,-0.0030357019007116667,0.011766344129691532
2023-02-21,0.005619837354700653,-0.012453990396411875,-0.0041624450071455045,-0.009860018693176657,-0.01178729513888423,0.016992041940420494,0.007140309719300947,-0.013858191905213084
2023-02-22,0.017991997508665016,0.006145990417532186,0.016257242376779203,0.012592576838472244,-0.016579900218441447,-0.011203620803939392,0.014945872102465237,0.012207405308669298
2023-02-23,-0.00041803187928296265,0.00234654766617564,0.0255532979157685,-0.0118314277767166,0.010941947623400759,-0.004043853048677881,-0.004353624064544406,0.021975537039743802
2023-02-24,0.016508326979760596,0.01627019272001277,0.026109576143086583,0.000420076832655181,0.013639059425899278,-0.006205335131869121,0.006483327049768842,-0.0026028610873536917
