record_id,silhouette_score,a_distance,b_distance,cluster_label,status,source_ref
S001,0.7946585494974976,4.378314295470503,21.322116332362846,1,可用,MATH-2024-001
S002,0.719914250313117,6.195035331672625,22.118352463837322,1,可用,MATH-2024-002
S003,0.7369649643824043,4.627932649690227,17.59435825278605,1,可用,MATH-2024-003
S004,0.7428953936146812,6.845421039237646,26.625042372747313,2,可用,MATH-2024-004
S005,0.7603311028474397,6.335843240098335,26.43581756069615,2,可用,MATH-2024-005
S006,0.7572977124077664,8.256835378437932,34.02042667315232,2,可用,MATH-2024-006
S007,0.3665488989727162,11.306055971421147,17.848348440922678,3,暂缓,MATH-2024-007
S008,0.4093242298142134,12.989310618619351,21.990593273419226,3,暂缓,MATH-2024-008
S009,-0.15733376691992984,19.800925579191638,16.68557136931627,3,重新采集,MATH-2024-009
S010,0.8165163551687794,3.6206227346940554,19.7326728386309,1,可用,MATH-2024-010
