,STOCK_F,STOCK_A,STOCK_C,STOCK_B,STOCK_D,STOCK_E,STOCK_G
2023-01-02,0.009547718296818372,-0.007413731066860078,-0.021133280178406252,-0.0005665092372847568,-0.005185109576796697,-0.009115886328792868,-0.01434968465076768
2023-01-03,-0.019539008466162067,-0.014767872713763034,-0.02873065972863121,-0.006147398357200349,-0.026589525417252173,-0.04065433105918473,-0.009206116707357366
2023-01-04,-0.009315489253317419,-0.042992790582450466,0.007048562499139078,-0.013218059481951244,0.005877655915200595,0.01402746227134654,0.0251174902630947
2023-01-05,0.014351400864165783,0.003297011259733419,-0.0026553569760744723,0.004661115704019966,,,0.03420028557417019
2023-01-06,0.00733487006782911,-0.0028893548858831054,0.02363062814509914,0.009862951367305233,0.009601411010155343,0.00011255926055683737,0.011757617203487097
2023-01-09,-0.006382842832065271,0.03813981418806639,0.020705588427202,0.015816976845586125,0.007668645720188921,-0.011459530016959487,-0.017096287070041086
2023-01-10,0.001021276558933187,-0.03555692860224721,0.0025794761670501053,-0.024564082165550172,0.010909237524685998,0.011361775919235893,0.04024122223398883
2023-01-11,-0.006643441850799655,-0.012460377607377374,0.020312198310340108,-0.0024787815422678606,-0.002137594713092183,0.0041058376759692304,-0.01011941795623929
2023-01-12,-0.003535392629570605,-0.026688376114999874,-0.016003045508402737,-0.011367208788443973,0.0017318957882744442,0.022049446800462003,-0.006202755623429035
2023-01-13,-0.018319529677248158,-0.003105157223139154,-0.007721031055793819,-0.009112505065205428,-0.0259611154008967,-0.029152691839550906,0.007346756689792429
2023-01-16,-0.0038611625826518482,0.002249891144532545,,-0.007396078885072467,0.0035017414867183436,0.01204971739143235,0.03158320841429548
2023-01-17,-0.00293882289721858,0.02081257162657209,,0.004065422666367873,-0.012760141742606763,,0.017579519531044474
2023-01-18,-0.0007987184548053357,0.0017073140727379618,,0.007334884730890308,-0.005806201224864601,-0.03720613292425329,0.00879731000723821
2023-01-19,0.006447219689902797,-0.02434716063810184,,-0.02529552752948707,0.01824401632289785,0.016526101710389776,0.009765770602362125
2023-01-20,0.017956142827524967,0.00729985349524696,,0.010801478020805189,0.012445391772988309,0.026170572536168755,0.0013702933728693216
2023-01-23,-0.0104104633642796,0.006368345728214398,,0.010524842480877587,0.001499901554829479,-0.018695513115603513,0.011662790290370127
2023-01-24,-0.008480603892343778,-0.00447345692125754,,0.010784239182587103,-0.0055823201262980475,-0.0055988112304322865,-0.050091201553886064
2023-01-25,0.01225593580336891,-0.0010499758503243297,,-0.01605246223826251,0.01417968657454334,0.011082208917638173,-0.005432149181395967
2023-01-26,-0.0036090151253517144,-0.016397925573603176,,-0.011329043438489525,-0.016701524737384753,-0.007298626615979112,0.0053264386983356195
2023-01-27,-0.006507088777606651,0.014046059608529596,,-0.005727817865806486,-4.894012802115501e-05,0.005462165463624719,-0.022520281672390143
2023-01-30,-0.014508747998882788,-0.00520932055823437,-0.029115783191025594,-0.02000956135348946,-0.01778577541010534,0.01752415644003987,0.008226466356231199
2023-01-31,0.00879124459080141,0.00082619875883757,0.01939508951572774,0.018063025552019895,0.016554840057300797,0.02901998041972101,-0.0035894244197224308
2023-02-01,0.02529936329037333,,0.031981345725442305,0.02071538467872403,0.015095995987914706,0.000934352533302278,0.0356095139663098
2023-02-02,0.003541719948331656,-0.033640131199537966,-0.027290306210740495,-0.003519011196809066,-0.008350478001765,0.00016261543796499333,0.03196039450429713
2023-02-03,-0.019249409991376146,0.004395486207084917,0.013550279806560433,-0.004259764070538914,-0.008381765506460238,-0.01455840964334498,-0.008816111382363257
2023-02-06,-0.003919465898938952,-0.0022922043082424263,0.0017291843676273755,-0.001557956190621919,-9.998441985800558e-05,-0.015029008830942617,-0.0025167542313339064
2023-02-07,-0.02191356290660731,-0.029278330326912846,-0.026679417415072054,-0.011102233850947552,-0.03755326974872302,-0.04252849262771156,-0.000978951312167852
2023-02-08,-0.003449158106223638,-0.015149737079101472,-0.03568643733822756,-0.02400394923522276,-0.0218522821893884,-0.0011429051998721289,-0.008533189523192455
