,STOCK_A,STOCK_B,STOCK_C,STOCK_D,STOCK_E,STOCK_F
2023-01-02,-0.007413731066860078,-0.0005665092372847568,-0.021133280178406252,-0.005185109576796697,-0.009115886328792868,0.009547718296818372
2023-01-03,-0.014767872713763034,-0.006147398357200349,-0.02873065972863121,-0.026589525417252173,-0.04065433105918473,-0.019539008466162067
2023-01-04,-0.042992790582450466,-0.013218059481951244,0.007048562499139078,0.005877655915200595,0.01402746227134654,-0.009315489253317419
2023-01-05,0.003297011259733419,0.004661115704019966,-0.0026553569760744723,,,0.014351400864165783
2023-01-06,-0.0028893548858831054,0.009862951367305233,0.02363062814509914,0.009601411010155343,0.00011255926055683737,0.00733487006782911
2023-01-09,0.03813981418806639,0.015816976845586125,0.020705588427202,0.007668645720188921,-0.011459530016959487,-0.006382842832065271
2023-01-10,-0.03555692860224721,-0.024564082165550172,0.0025794761670501053,0.010909237524685998,0.011361775919235893,0.001021276558933187
2023-01-11,-0.012460377607377374,-0.0024787815422678606,0.020312198310340108,-0.002137594713092183,0.0041058376759692304,-0.006643441850799655
2023-01-12,-0.026688376114999874,-0.011367208788443973,-0.016003045508402737,0.0017318957882744442,0.022049446800462003,-0.003535392629570605
2023-01-13,-0.003105157223139154,-0.009112505065205428,-0.007721031055793819,-0.0259611154008967,-0.029152691839550906,-0.018319529677248158
2023-01-16,0.002249891144532545,-0.007396078885072467,,0.0035017414867183436,0.01204971739143235,-0.0038611625826518482
2023-01-17,0.02081257162657209,0.004065422666367873,,-0.012760141742606763,,-0.00293882289721858
2023-01-18,0.0017073140727379618,0.007334884730890308,,-0.005806201224864601,-0.03720613292425329,-0.0007987184548053357
2023-01-19,-0.02434716063810184,-0.02529552752948707,,0.01824401632289785,0.016526101710389776,0.006447219689902797
2023-01-20,0.00729985349524696,0.010801478020805189,,0.012445391772988309,0.026170572536168755,0.017956142827524967
2023-01-23,0.006368345728214398,0.010524842480877587,,0.001499901554829479,-0.018695513115603513,-0.0104104633642796
2023-01-24,-0.00447345692125754,0.010784239182587103,,-0.0055823201262980475,-0.0055988112304322865,-0.008480603892343778
2023-01-25,-0.0010499758503243297,-0.01605246223826251,,0.01417968657454334,0.011082208917638173,0.01225593580336891
2023-01-26,-0.016397925573603176,-0.011329043438489525,,-0.016701524737384753,-0.007298626615979112,-0.0036090151253517144
2023-01-27,0.014046059608529596,-0.005727817865806486,,-4.894012802115501e-05,0.005462165463624719,-0.006507088777606651
2023-01-30,-0.00520932055823437,-0.02000956135348946,-0.029115783191025594,-0.01778577541010534,0.01752415644003987,-0.014508747998882788
2023-01-31,0.00082619875883757,0.018063025552019895,0.01939508951572774,0.016554840057300797,0.02901998041972101,0.00879124459080141
2023-02-01,,0.02071538467872403,0.031981345725442305,0.015095995987914706,0.000934352533302278,0.02529936329037333
2023-02-02,-0.033640131199537966,-0.003519011196809066,-0.027290306210740495,-0.008350478001765,0.00016261543796499333,0.003541719948331656
2023-02-03,0.004395486207084917,-0.004259764070538914,0.013550279806560433,-0.008381765506460238,-0.01455840964334498,-0.019249409991376146
2023-02-06,-0.0022922043082424263,-0.001557956190621919,0.0017291843676273755,-9.998441985800558e-05,-0.015029008830942617,-0.003919465898938952
2023-02-07,-0.029278330326912846,-0.011102233850947552,-0.026679417415072054,-0.03755326974872302,-0.04252849262771156,-0.02191356290660731
2023-02-08,-0.015149737079101472,-0.02400394923522276,-0.03568643733822756,-0.0218522821893884,-0.0011429051998721289,-0.003449158106223638
2023-02-09,-0.01128129142934794,-0.0049125109921707545,0.014237702983680661,0.007668649397324112,0.013050594137561084,-0.004363014199648544
2023-02-10,0.004518851498965318,0.002677440004459228,-0.00043078253246965154,-0.025435562860705165,-0.01232332831864307,0.01342168801026863
2023-02-13,-0.028124500672915293,-0.01358614412573258,-0.005070984442464703,,-0.005689270201705372,-0.003389328986695906
2023-02-14,-0.010067109030500615,-0.005780547659364786,0.0023698405429174183,-0.011664921299319661,-0.0019459584259978548,-0.021517025655399483
2023-02-15,-0.0219757864532003,-0.0036384724913056618,-0.011732239019244209,0.0027997104731009624,0.012905823332290014,0.0033389062471795316
2023-02-16,-0.010062340084742783,-0.01688765363599356,-0.007739707280071652,0.0030796218110263488,0.014300956543706798,0.010879429093997958
2023-02-17,0.009780929344353744,-0.0007167484382306846,0.028100649213802734,0.006304501012339581,0.04535827158046268,0.03393393114961807
2023-02-20,0.013114898267030285,0.007115470175917303,-0.017993664778891326,-0.02054220283897885,-0.01724770631461949,4.940794989278553e-05
2023-02-21,0.011431964886679503,-0.008197789915072522,0.01910758085352927,0.030477305998322844,0.004886776311629268,0.01015519451751922
2023-02-22,-0.03559183397381969,-0.017160178735980525,-0.01975198465167834,0.007124820735484218,-0.0020417289058187356,0.0017919590736214513
2023-02-23,0.012632829690497093,0.012460282261919158,0.024990900758696158,0.012020643948630266,-0.0025641827065467143,0.008099049921198457
2023-02-24,,-0.017462880414666208,-0.022376279311855245,-0.04245501125938607,-0.05219741205333078,-0.032075971907134654
2023-02-27,0.005344165592722246,0.019407121982428104,0.009582028637343318,0.013543987201658302,0.015228838350498113,0.019117411434780063
2023-02-28,0.004372200089856543,0.01300812808486072,-0.00990153354256684,0.004107059478986664,0.02914508141586352,0.016429942006623132
2023-03-01,-0.016151840233003652,-0.025420696962898597,-0.026685995661710458,,-0.05769008423548643,-0.03844312198467667
2023-03-02,-0.01351768448931355,0.02572553780545517,0.00022345638722798142,-0.010968368136128288,-0.01946989126511805,-0.014836874437276127
2023-03-03,,-0.00020497837888860352,-0.013757204687787189,0.010872356887202322,0.03633569750641862,-0.003957558325954939
2023-03-06,-0.031733032541948765,-0.015494282083246736,-0.04904357918017034,-0.01742385696924452,0.002998076424564478,-0.013739799548910026
2023-03-07,,-0.00779380710022411,-0.005270895939561356,-0.002037003207888476,0.008131634543888249,-0.0034927060460005054
2023-03-08,-0.015937009607659505,,-0.05801108099984467,-0.020166752386523074,0.011454896132720556,-0.031627784211791014
2023-03-09,-0.01365664957215423,-0.004587047291630516,-0.003986516071796579,-0.005628435430483744,0.0073608489476315675,
