tokenSymbol,timestamp,priceUSD,source
ARB,2024-01-01T08:00:00+08:00,1.2000,coingecko
ETH,2024-01-01T08:00:00+08:00,2000.00,coingecko
ARB,2024-01-02T08:00:00+08:00,1.2200,coingecko
ETH,2024-01-02T08:00:00+08:00,2028.47,coingecko
ARB,2024-01-03T08:00:00+08:00,1.2397,coingecko
ETH,2024-01-03T08:00:00+08:00,2056.37,coingecko
ARB,2024-01-04T08:00:00+08:00,1.2591,coingecko
ETH,2024-01-04T08:00:00+08:00,2083.11,coingecko
ARB,2024-01-05T08:00:00+08:00,1.2779,coingecko
ETH,2024-01-05T08:00:00+08:00,2108.17,coingecko
ARB,2024-01-06T08:00:00+08:00,1.2959,coingecko
ETH,2024-01-06T08:00:00+08:00,2131.02,coingecko
ARB,2024-01-07T08:00:00+08:00,1.3129,coingecko
ETH,2024-01-07T08:00:00+08:00,2151.20,coingecko
ARB,2024-01-08T08:00:00+08:00,1.3288,coingecko
ETH,2024-01-08T08:00:00+08:00,2168.29,coingecko
ARB,2024-01-09T08:00:00+08:00,1.3435,coingecko
ETH,2024-01-09T08:00:00+08:00,2181.96,coingecko
ARB,2024-01-10T08:00:00+08:00,1.3567,coingecko
ETH,2024-01-10T08:00:00+08:00,2191.93,coingecko
ARB,2024-01-11T08:00:00+08:00,1.3683,coingecko
ETH,2024-01-11T08:00:00+08:00,2197.98,coingecko
ARB,2024-01-12T08:00:00+08:00,1.3782,coingecko
ETH,2024-01-12T08:00:00+08:00,2200.00,coingecko
ARB,2024-01-13T08:00:00+08:00,1.3864,coingecko
ETH,2024-01-13T08:00:00+08:00,2197.94,coingecko
ARB,2024-01-14T08:00:00+08:00,1.3927,coingecko
ETH,2024-01-14T08:00:00+08:00,2191.86,coingecko
ARB,2024-01-15T08:00:00+08:00,1.3971,coingecko
ETH,2024-01-15T08:00:00+08:00,2181.86,coingecko
ARB,2024-01-16T08:00:00+08:00,1.3995,coingecko
ETH,2024-01-16T08:00:00+08:00,2168.16,coingecko
ARB,2024-01-17T08:00:00+08:00,1.3999,coingecko
ETH,2024-01-17T08:00:00+08:00,2151.03,coingecko
ARB,2024-01-18T08:00:00+08:00,1.3983,coingecko
ETH,2024-01-18T08:00:00+08:00,2130.82,coingecko
ARB,2024-01-19T08:00:00+08:00,1.3948,coingecko
ETH,2024-01-19T08:00:00+08:00,2107.95,coingecko
ARB,2024-01-20T08:00:00+08:00,1.3893,coingecko
ETH,2024-01-20T08:00:00+08:00,2082.88,coingecko
