事实键,波次号,订单号,SKU编码,数据源,状态,原始行号,来源文件,创建时间,更新时间,数据详情
customer_note:WAVE001:ORD002:缺货通知,WAVE001,ORD002,缺货通知,客服备注,valid,2,customer_note_20240501_001.csv,2026-05-24T16:57:33.658Z,2026-05-24T16:58:04.952Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":"""",""noteType"":""缺货通知"",""noteContent"":""SKU001缺货2件，已联系客户同意补发"",""operator"":""客服小王"",""noteTime"":""2024-05-01 16:00:00"",""isUrgent"":true}"
customer_note:WAVE002:ORD003:SKU004,WAVE002,ORD003,SKU004,客服备注,valid,3,customer_note_20240501_001.csv,2026-05-24T16:57:33.664Z,2026-05-24T16:58:04.953Z,"{""waveNo"":""WAVE002"",""orderNo"":""ORD003"",""skuCode"":""SKU004"",""noteType"":""差异处理"",""noteContent"":""客户反馈少1件，已核实安排退款"",""operator"":""客服小李"",""noteTime"":""2024-05-01 17:00:00"",""isUrgent"":true}"
pick_diff:WAVE001:ORD001:SKU001,WAVE001,ORD001,SKU001,拣货差异,valid,2,pick_diff_20240501_001.csv,2026-05-24T16:57:33.690Z,2026-05-24T16:58:04.955Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU001"",""pickQty"":10,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""张拣货"",""pickTime"":""2024-05-01 09:30:00""}"
pick_diff:WAVE001:ORD001:SKU002,WAVE001,ORD001,SKU002,拣货差异,valid,3,pick_diff_20240501_001.csv,2026-05-24T16:57:33.691Z,2026-05-24T16:58:04.956Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU002"",""pickQty"":5,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""张拣货"",""pickTime"":""2024-05-01 09:32:00""}"
pick_diff:WAVE001:ORD002:SKU003,WAVE001,ORD002,SKU003,拣货差异,valid,5,pick_diff_20240501_001.csv,2026-05-24T16:57:33.695Z,2026-05-24T16:58:04.957Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":""SKU003"",""pickQty"":3,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""李拣货"",""pickTime"":""2024-05-01 10:18:00""}"
pick_diff:WAVE002:ORD003:SKU001,WAVE002,ORD003,SKU001,拣货差异,valid,6,pick_diff_20240501_001.csv,2026-05-24T16:57:33.697Z,2026-05-24T16:58:04.958Z,"{""waveNo"":""WAVE002"",""orderNo"":""ORD003"",""skuCode"":""SKU001"",""pickQty"":15,""diffQty"":0,""diffType"":""正常"",""diffReason"":"""",""picker"":""王拣货"",""pickTime"":""2024-05-01 11:00:00""}"
pick_diff:WAVE002:ORD003:SKU004,WAVE002,ORD003,SKU004,拣货差异,valid,7,pick_diff_20240501_001.csv,2026-05-24T16:57:33.700Z,2026-05-24T16:58:04.958Z,"{""waveNo"":""WAVE002"",""orderNo"":""ORD003"",""skuCode"":""SKU004"",""pickQty"":5,""diffQty"":-1,""diffType"":""错发"",""diffReason"":""发错SKU"",""picker"":""王拣货"",""pickTime"":""2024-05-01 11:05:00""}"
review_scan:WAVE001:ORD001:SKU001,WAVE001,ORD001,SKU001,复核扫描,valid,2,review_scan_20240501_001.csv,2026-05-24T16:57:33.705Z,2026-05-24T16:58:04.981Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU001"",""reviewQty"":10,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:00:00"",""isException"":false,""exceptionReason"":""""}"
review_scan:WAVE001:ORD001:SKU002,WAVE001,ORD001,SKU002,复核扫描,valid,3,review_scan_20240501_001.csv,2026-05-24T16:57:33.706Z,2026-05-24T16:58:04.990Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD001"",""skuCode"":""SKU002"",""reviewQty"":5,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:02:00"",""isException"":false,""exceptionReason"":""""}"
review_scan:WAVE001:ORD002:SKU001,WAVE001,ORD002,SKU001,复核扫描,valid,4,review_scan_20240501_001.csv,2026-05-24T16:57:33.707Z,2026-05-24T16:58:04.991Z,"{""waveNo"":""WAVE001"",""orderNo"":""ORD002"",""skuCode"":""SKU001"",""reviewQty"":6,""reviewer"":""陈复核"",""reviewTime"":""2024-05-01 14:30:00"",""isException"":true,""exceptionReason"":""缺货2件已登记""}"
