时间,速度,电流,电压,区间,车站,列车号,坡度,坡度版本,运行方向,备注,功率,能量(kWh),累计能量(kWh),制动能量(kWh),累计制动能量(kWh),牵引能量(kWh),累计牵引能量(kWh),加速度,制动阶段,制动阶段ID
2026-05-31 08:00:00,0,0.0,1500,车站A-车站B,车站A,T01,0.5,V1,上行,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0
2026-05-31 08:00:05,10,120.0,1500,车站A-车站B,车站A,T01,0.5,V1,上行,,180.0,0.25,0.25,0.0,0.0,0.25,0.25,2.0,False,0
2026-05-31 08:00:10,25,150.0,1490,车站A-车站B,车站A,T01,0.5,V1,上行,,223.5,0.3104166666666667,0.5604166666666667,0.0,0.0,0.3104166666666667,0.5604166666666667,3.0,False,0
2026-05-31 08:00:15,40,180.0,1485,车站A-车站B,车站A,T01,0.5,V1,上行,,267.3,0.37125,0.9316666666666666,0.0,0.0,0.37125,0.9316666666666666,3.0,False,0
2026-05-31 08:00:20,55,200.0,1480,车站A-车站B,车站A,T01,0.5,V1,上行,,296.0,0.4111111111111111,1.3427777777777776,0.0,0.0,0.4111111111111111,1.3427777777777776,3.0,False,0
2026-05-31 08:00:25,65,150.0,1490,车站A-车站B,车站A,T01,0.5,V1,上行,,223.5,0.3104166666666667,1.6531944444444444,0.0,0.0,0.3104166666666667,1.6531944444444444,2.0,False,0
2026-05-31 08:00:30,70,-80.0,1505,车站A-车站B,车站A,T01,0.5,V1,上行,开始制动,-120.4,-0.16722222222222222,1.4859722222222222,0.16722222222222222,0.16722222222222222,0.0,1.6531944444444444,1.0,False,0
2026-05-31 08:00:35,60,-120.0,1510,车站A-车站B,车站A,T01,0.5,V1,上行,,-181.2,-0.25166666666666665,1.2343055555555555,0.25166666666666665,0.41888888888888887,0.0,1.6531944444444444,-2.0,True,1
2026-05-31 08:00:40,45,-100.0,1508,车站A-车站B,车站A,T01,0.5,V1,上行,,-150.8,-0.20944444444444443,1.024861111111111,0.20944444444444443,0.6283333333333333,0.0,1.6531944444444444,-3.0,True,1
2026-05-31 08:00:45,30,-60.0,1505,车站A-车站B,车站A,T01,0.5,V1,上行,,-90.3,-0.12541666666666668,0.8994444444444443,0.12541666666666668,0.7537499999999999,0.0,1.6531944444444444,-3.0,True,1
2026-05-31 08:00:50,15,-30.0,1502,车站A-车站B,车站A,T01,0.5,V1,上行,,-45.06,-0.06258333333333334,0.836861111111111,0.06258333333333334,0.8163333333333332,0.0,1.6531944444444444,-3.0,True,1
2026-05-31 08:03:00,50,180.0,1480,车站D-车站E,车站D,T01,0.2,V1,下行,恢复正常,266.4,9.62,10.45686111111111,0.0,0.8163333333333332,9.62,11.273194444444444,0.2692307692307692,False,0
2026-05-31 08:03:05,60,160.0,1485,车站D-车站E,车站D,T01,0.2,V1,下行,,237.6,0.33,10.78686111111111,0.0,0.8163333333333332,0.33,11.603194444444444,2.0,False,0
2026-05-31 08:03:10,70,120.0,1490,车站D-车站E,车站D,T01,0.2,V1,下行,,178.8,0.24833333333333332,11.035194444444443,0.0,0.8163333333333332,0.24833333333333332,11.851527777777777,2.0,False,0
2026-05-31 08:03:15,75,-100.0,1510,车站D-车站E,车站D,T01,0.2,V1,下行,,-151.0,-0.20972222222222223,10.82547222222222,0.20972222222222223,1.0260555555555555,0.0,11.851527777777777,1.0,False,0
2026-05-31 08:03:20,65,-130.0,1515,车站D-车站E,车站D,T01,0.2,V1,下行,,-196.95,-0.2735416666666667,10.551930555555554,0.2735416666666667,1.2995972222222223,0.0,11.851527777777777,-2.0,True,2
2026-05-31 08:03:25,50,-110.0,1512,车站D-车站E,车站D,T01,0.2,V1,下行,,-166.32,-0.23099999999999998,10.320930555555554,0.23099999999999998,1.5305972222222222,0.0,11.851527777777777,-3.0,True,2
2026-05-31 08:03:30,30,-70.0,1508,车站D-车站E,车站E,T01,0.2,V1,下行,,-105.56,-0.1466111111111111,10.174319444444443,0.1466111111111111,1.6772083333333332,0.0,11.851527777777777,-4.0,True,2
2026-05-31 08:03:35,10,-30.0,1503,车站D-车站E,车站E,T01,0.2,V1,下行,,-45.09,-0.062625,10.111694444444442,0.062625,1.7398333333333331,0.0,11.851527777777777,-4.0,True,2
2026-05-31 08:03:40,0,0.0,1500,车站D-车站E,车站E,T01,0.2,V1,下行,,0.0,0.0,10.111694444444442,0.0,1.7398333333333331,0.0,11.851527777777777,-2.0,False,0
2026-05-31 08:04:00,0,0.0,1500,车站E-车站F,车站E,T01,-0.5,V1,下行,,0.0,0.0,10.111694444444442,0.0,1.7398333333333331,0.0,11.851527777777777,0.0,False,0
2026-05-31 08:04:05,15,80.0,1495,车站E-车站F,车站E,T01,-0.5,V1,下行,,119.6,0.1661111111111111,10.277805555555553,0.0,1.7398333333333331,0.1661111111111111,12.017638888888888,3.0,False,0
2026-05-31 08:04:10,30,120.0,1490,车站E-车站F,车站E,T01,-0.5,V1,下行,,178.8,0.24833333333333332,10.526138888888886,0.0,1.7398333333333331,0.24833333333333332,12.26597222222222,3.0,False,0
2026-05-31 08:04:15,45,150.0,1485,车站E-车站F,车站E,T01,-0.5,V1,下行,,222.75,0.309375,10.835513888888885,0.0,1.7398333333333331,0.309375,12.57534722222222,3.0,False,0
2026-05-31 08:04:20,55,130.0,1488,车站E-车站F,车站E,T01,-0.5,V1,下行,,193.44,0.26866666666666666,11.104180555555551,0.0,1.7398333333333331,0.26866666666666666,12.844013888888886,2.0,False,0
2026-05-31 08:04:25,60,-90.0,1508,车站E-车站F,车站E,T01,-0.5,V1,下行,,-135.72,-0.1885,10.915680555555552,0.1885,1.9283333333333332,0.0,12.844013888888886,1.0,False,0
2026-05-31 08:04:30,50,-120.0,1510,车站E-车站F,车站E,T01,-0.5,V1,下行,,-181.2,-0.25166666666666665,10.664013888888885,0.25166666666666665,2.1799999999999997,0.0,12.844013888888886,-2.0,True,3
2026-05-31 08:04:35,35,-100.0,1508,车站E-车站F,车站F,T01,-0.5,V1,下行,,-150.8,-0.20944444444444443,10.45456944444444,0.20944444444444443,2.389444444444444,0.0,12.844013888888886,-3.0,True,3
2026-05-31 08:04:40,20,-60.0,1505,车站E-车站F,车站F,T01,-0.5,V1,下行,,-90.3,-0.12541666666666668,10.329152777777773,0.12541666666666668,2.5148611111111108,0.0,12.844013888888886,-3.0,True,3
2026-05-31 08:04:45,5,-20.0,1502,车站E-车站F,车站F,T01,-0.5,V1,下行,,-30.04,-0.041722222222222216,10.28743055555555,0.041722222222222216,2.556583333333333,0.0,12.844013888888886,-3.0,False,0
2026-05-31 08:04:50,0,0.0,1500,车站E-车站F,车站F,T01,-0.5,V1,下行,,0.0,0.0,10.28743055555555,0.0,2.556583333333333,0.0,12.844013888888886,-1.0,False,0
2026-05-31 08:05:00,0,0.0,1500,车站F-车站G,车站F,T02,1.2,V3,上行,错误版本,0.0,0.0,10.28743055555555,0.0,2.556583333333333,0.0,12.844013888888886,0.0,False,0
2026-05-31 08:05:05,10,90.0,1495,车站F-车站G,车站F,T02,1.2,V3,上行,,134.55,0.186875,10.474305555555551,0.0,2.556583333333333,0.186875,13.030888888888887,2.0,False,0
2026-05-31 08:05:10,25,130.0,1490,车站F-车站G,车站F,T02,1.2,V3,上行,,193.7,0.26902777777777775,10.743333333333329,0.0,2.556583333333333,0.26902777777777775,13.299916666666665,3.0,False,0
2026-05-31 08:05:15,40,160.0,1485,车站F-车站G,车站F,T02,1.2,V3,上行,,237.6,0.33,11.073333333333329,0.0,2.556583333333333,0.33,13.629916666666665,3.0,False,0
2026-05-31 08:05:20,50,180.0,1480,车站F-车站G,车站F,T02,1.2,V3,上行,,266.4,0.37,11.443333333333328,0.0,2.556583333333333,0.37,13.999916666666664,2.0,False,0
2026-05-31 08:05:25,55,140.0,1485,车站F-车站G,车站F,T02,1.2,V3,上行,,207.9,0.28875,11.732083333333328,0.0,2.556583333333333,0.28875,14.288666666666664,1.0,False,0
2026-05-31 08:05:30,45,-100.0,1508,车站F-车站G,车站F,T02,1.2,V3,上行,,-150.8,-0.20944444444444443,11.522638888888883,0.20944444444444443,2.7660277777777775,0.0,14.288666666666664,-2.0,True,4
