"queueId","recordType","recordId","deviceId","deviceName","department","date","status","source","details","createdAt","updatedAt"
"86884fae-fbab-4b90-aa0a-2c688030fd30","inspection",,"DEV004","听诊器","","2026-05-25","dead_letter","external","缺少必填字段: department, inspector","2026-05-25T20:17:26+08:00","2026-05-25T20:17:26+08:00"
"4146217d-e3c3-4fb8-8788-6aabfa91b696","inspection",,"DEV005","体温计","发热门诊","2026-05-25","compensated","external","记录日期(2026-05-22)与当前日期相差3天","2026-05-25T20:17:26+08:00","2026-05-25T20:17:26+08:00"
"8c95d181-2024-4f6c-b82e-ae9d3c5cb816","calibration",,"DEV001","心电图机-新版","","2026-05-25","pending","external","","2026-05-25T20:17:26+08:00","2026-05-25T20:17:26+08:00"
"dee145db-5848-48ad-9108-2c71a468537b","repair",,"DEV002","超声诊断仪","","2026-05-25","pending","external","","2026-05-25T20:17:26+08:00","2026-05-25T20:17:26+08:00"
"6ff1c706-dd73-43ed-9e60-ce4ec7b608f5","repair",,"DEV002","超声诊断仪","","2026-05-25","compensated","external","金额冲突，历史金额: 5000, 当前金额: 5500","2026-05-25T20:17:26+08:00","2026-05-25T20:17:26+08:00"
"7fbb976e-3a12-44a4-b6b0-a559829ba336","inspection",,"DEV001","心电图机","心内科","2026-05-25","pending","external","","2026-05-25T20:17:25+08:00","2026-05-25T20:17:25+08:00"
"b737c707-d407-4e89-9efe-10fa20aeb49e","inspection",,"DEV002","超声诊断仪","超声科","2026-05-24","pending","external","","2026-05-25T20:17:25+08:00","2026-05-25T20:17:25+08:00"
"e8f92510-db04-4ce1-a0c5-738efbb8f5dc","calibration",,"DEV001","心电图机","","2026-05-25","compensated","external","记录日期(2026-04-25)与当前日期相差30天","2026-05-25T20:17:25+08:00","2026-05-25T20:17:26+08:00"
"6f882bab-eacb-4234-93aa-fbc6f0367a6c","calibration",,"DEV003","血压计","","2026-05-25","compensated","external","记录日期(2026-05-15)与当前日期相差10天","2026-05-25T20:17:25+08:00","2026-05-25T20:17:26+08:00"
"96632a7a-f5f1-4654-aab9-848b494c8d1f","repair",,"DEV001","心电图机","","2026-05-24","pending","external","","2026-05-25T20:17:25+08:00","2026-05-25T20:17:25+08:00"
"ce99048f-e70a-4b44-8c2b-c6be909ac44a","repair",,"DEV002","超声诊断仪","","2026-05-25","pending","external","","2026-05-25T20:17:25+08:00","2026-05-25T20:17:25+08:00"
