"queueId","recordType","recordId","deviceId","deviceName","department","date","status","source","details","createdAt","updatedAt"
"ff3d1ce7-06ce-4d0d-aa93-e58801f9067d","inspection",,"DEV004","听诊器","通用科室","2026-05-25","compensated","external","缺少必填字段: department, inspector","2026-05-25T20:46:25+08:00","2026-05-25T20:46:32+08:00"
"585681bc-192a-42ef-8171-27aa9dd84bfe","inspection",,"DEV005","体温计","发热门诊","2026-05-25","compensated","external","记录日期(2026-05-22)与当前日期相差3天","2026-05-25T20:46:25+08:00","2026-05-25T20:46:32+08:00"
"83e77548-270a-4452-a330-1b48f2379b9b","calibration",,"DEV001","心电图机-新版","","2026-05-25","pending","external","","2026-05-25T20:46:25+08:00","2026-05-25T20:46:25+08:00"
"db04d497-6233-4c8c-8b5d-cc1f72d3f7c2","repair",,"DEV002","超声诊断仪","","2026-05-25","pending","external","","2026-05-25T20:46:25+08:00","2026-05-25T20:46:25+08:00"
"2ad185cf-0a3d-4df4-918b-4f541460a591","repair",,"DEV002","超声诊断仪","","2026-05-25","compensated","external","金额冲突，历史金额: 5000, 当前金额: 5500","2026-05-25T20:46:25+08:00","2026-05-25T20:46:33+08:00"
"067c260f-7dbd-41d8-9035-f626759377e6","inspection",,"DEV001","心电图机","心内科","2026-05-25","pending","external","","2026-05-25T20:46:19+08:00","2026-05-25T20:46:19+08:00"
"9f96c6b5-7b95-4f68-8c84-eb1c5dfe69cf","inspection",,"DEV002","超声诊断仪","超声科","2026-05-24","pending","external","","2026-05-25T20:46:19+08:00","2026-05-25T20:46:19+08:00"
"4fde0a5b-84b2-41ca-a668-6faf01759893","calibration",,"DEV001","心电图机","","2026-05-25","compensated","external","记录日期(2026-04-25)与当前日期相差30天","2026-05-25T20:46:19+08:00","2026-05-25T20:46:33+08:00"
"a5c074a6-01cc-4776-a528-e5ce629528e9","calibration",,"DEV003","血压计","","2026-05-25","compensated","external","记录日期(2026-05-15)与当前日期相差10天","2026-05-25T20:46:19+08:00","2026-05-25T20:46:33+08:00"
"c573dc1a-b06c-4f7f-8c65-66507e7b26ca","repair",,"DEV001","心电图机","","2026-05-24","pending","external","","2026-05-25T20:46:19+08:00","2026-05-25T20:46:19+08:00"
"d8246477-23f0-48e2-8843-a2a67a834004","repair",,"DEV002","超声诊断仪","","2026-05-25","pending","external","","2026-05-25T20:46:19+08:00","2026-05-25T20:46:19+08:00"
