id,a11,a12,a13,a21,a22,a23,a31,a32,a33
M001,0.745071229516849,-0.20739645175677698,0.9715328071510387,2.284544784612038,-0.35123006208500396,-0.3512054354237708,2.368819223261087,1.1511520937293631,-0.7042115789024281
M002,1.0851200871719293,-0.9268353856249245,-0.9314595071405137,0.48392454313206823,-3.826560489315596,-3.4498356650260655,-1.1245750584819454,-2.0256622406688476,0.6284946651905478
M003,-2.2700601888030274,-3.530759253338229,3.664121922303885,-0.5644407512163392,0.1688205117198096,-3.5618704655336417,-1.3609568113129566,0.2773064742746652,-2.877483943555757
M004,1.1270940550370159,-1.801916069756415,-0.8750812493798303,-1.8051198366881906,5.556834553526813,-0.04049167421380176,-3.173132786867701,2.467634736309567,-3.6625309499130667
M005,0.7310225825166439,-6.858845433579215,-4.648651171144507,0.6890143255419323,2.5846330299839364,0.5997889841648967,-0.40476898835884184,-1.0538629345625108,-5.174826966285996
M006,1.0,2.0,3.0,2.0,4.0001,6.0,3.0,6.0,9.0001
M007,1.0,2.0,3.0,2.0,4.0,6.0,3.0,6.0,9.0
M008,,,,,,,,,
M009,1.0,N/A,3.0,2.0,5.0,error,3.0,6.0,9.0
M010,4.0,,1.0,,3.0,,2.0,5.0,7.0
M011,2.0,0.5,0.1,0.5,3.0,0.2,0.1,0.2,4.0
M012,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.25,0.3333333333333333,0.25,0.2
