售后单号,城市,问题类型,团长申请金额,仓库复核金额,实际退款金额,差异金额,是否平账,说明,对账时间
AS20260525000025,杭州,MISSING,50,40,0,-40,否,少发商品，走补发渠道,2026-05-24T17:15:09.813Z
AS20260525000024,深圳,DAMAGED,150,120,150,30,否,坏品，走赔付渠道,2026-05-24T17:15:09.811Z
AS20260525000023,广州,DAMAGED,200,200,0,-200,否,坏品，走赔付渠道,2026-05-24T17:15:09.809Z
AS20260525000022,上海,OTHER,60,0,0,0,是,对账一致,2026-05-24T17:15:09.806Z
AS20260525000021,北京,OTHER,100,0,0,0,是,对账一致,2026-05-24T17:15:09.802Z
AS20260525000020,广州,OTHER,174,0,0,0,是,对账一致,2026-05-24T17:15:09.800Z
AS20260525000019,北京,OTHER,192,0,0,0,是,对账一致,2026-05-24T17:15:09.798Z
AS20260525000018,北京,OTHER,235,0,0,0,是,对账一致,2026-05-24T17:15:09.796Z
AS20260525000017,深圳,OTHER,50,0,0,0,是,对账一致,2026-05-24T17:15:09.795Z
AS20260525000016,上海,OTHER,81,0,0,0,是,对账一致,2026-05-24T17:15:09.793Z
AS20260525000015,上海,DAMAGED,147,127,0,-127,否,坏品，走赔付渠道,2026-05-24T17:15:09.790Z
AS20260525000014,北京,AMOUNT_MISMATCH,93,93,0,-93,否,补偿金额差异: -93.00元,2026-05-24T17:15:09.788Z
AS20260525000013,深圳,AMOUNT_MISMATCH,100,100,0,-100,否,补偿金额差异: -100.00元,2026-05-24T17:15:09.785Z
AS20260525000012,杭州,MISSING,96,96,0,-96,否,少发商品，走补发渠道,2026-05-24T17:15:09.784Z
AS20260525000011,杭州,AMOUNT_MISMATCH,234,234,0,-234,否,补偿金额差异: -234.00元,2026-05-24T17:15:09.782Z
AS20260525000010,深圳,OTHER,183,163,163,0,是,对账一致,2026-05-24T17:15:09.780Z
AS20260525000009,深圳,DAMAGED,222,222,0,-222,否,坏品，走赔付渠道,2026-05-24T17:15:09.778Z
AS20260525000008,深圳,AMOUNT_MISMATCH,187,187,177,-10,否,补偿金额差异: -10.00元,2026-05-24T17:15:09.775Z
AS20260525000007,深圳,AMOUNT_MISMATCH,112,112,0,-112,否,补偿金额差异: -112.00元,2026-05-24T17:15:09.773Z
AS20260525000006,杭州,MISSING,174,174,174,0,是,少发商品，走补发渠道,2026-05-24T17:15:09.770Z
AS20260525000005,上海,OTHER,170,150,150,0,是,对账一致,2026-05-24T17:15:09.767Z
AS20260525000004,广州,OTHER,222,222,222,0,是,对账一致,2026-05-24T17:15:09.765Z
AS20260525000003,北京,DAMAGED,201,201,201,0,是,坏品，走赔付渠道,2026-05-24T17:15:09.763Z
AS20260525000002,深圳,OTHER,121,121,121,0,是,对账一致,2026-05-24T17:15:09.761Z
AS20260525000001,广州,OTHER,241,241,241,0,是,对账一致,2026-05-24T17:15:09.759Z
