售后单号,原状态,新状态,操作人,角色,原因,操作时间
AS20260525000009,WAREHOUSE_APPROVED,REFUND_FAILED,财务3,FINANCE,退款失败，账户异常,2026-05-25T11:15:08.285Z
AS20260525000015,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员18,WAREHOUSE,仓库复核通过,2026-05-25T01:15:08.286Z
AS20260525000009,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员3,WAREHOUSE,仓库复核通过,2026-05-25T01:15:08.285Z
AS20260525000015,CREATED,LEADER_SUBMITTED,团长15,LEADER,团长提交退款申请,2026-05-24T19:15:08.286Z
AS20260525000017,CREATED,LEADER_SUBMITTED,团长17,LEADER,团长提交退款申请,2026-05-24T19:15:08.286Z
AS20260525000009,CREATED,LEADER_SUBMITTED,团长9,LEADER,团长提交退款申请,2026-05-24T19:15:08.285Z
AS20260525000015,无,CREATED,系统,SYSTEM,售后单创建,2026-05-24T18:15:08.286Z
AS20260525000017,无,CREATED,系统,SYSTEM,售后单创建,2026-05-24T18:15:08.286Z
AS20260525000009,无,CREATED,系统,SYSTEM,售后单创建,2026-05-24T18:15:08.285Z
AS20260525000025,WAREHOUSE_APPROVED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.814Z
AS20260525000024,REFUND_SUCCESS,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.812Z
AS20260525000023,WAREHOUSE_APPROVED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.810Z
AS20260525000022,LEADER_SUBMITTED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.808Z
AS20260525000021,LEADER_SUBMITTED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.804Z
AS20260525000020,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.801Z
AS20260525000019,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.799Z
AS20260525000018,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.798Z
AS20260525000017,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.796Z
AS20260525000016,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.794Z
AS20260525000015,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.792Z
AS20260525000014,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.789Z
AS20260525000013,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.787Z
AS20260525000012,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.785Z
AS20260525000011,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.783Z
AS20260525000010,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.781Z
AS20260525000009,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.779Z
AS20260525000008,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.777Z
AS20260525000007,CREATED,ABNORMAL,系统,SYSTEM,对账完成，发现异常,2026-05-24T17:15:09.775Z
AS20260525000006,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.772Z
AS20260525000005,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.768Z
AS20260525000004,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.767Z
AS20260525000003,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.764Z
AS20260525000002,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.762Z
AS20260525000001,CREATED,RECONCILED,系统,SYSTEM,对账完成，数据一致,2026-05-24T17:15:09.760Z
AS20260525000005,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务1,FINANCE,退款成功,2026-05-24T11:15:08.284Z
AS20260525000005,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员13,WAREHOUSE,仓库复核通过,2026-05-24T01:15:08.284Z
AS20260525000005,CREATED,LEADER_SUBMITTED,团长5,LEADER,团长提交退款申请,2026-05-23T19:15:08.284Z
AS20260525000005,无,CREATED,系统,SYSTEM,售后单创建,2026-05-23T18:15:08.284Z
AS20260525000010,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务5,FINANCE,退款成功,2026-05-23T11:15:08.285Z
AS20260525000002,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务8,FINANCE,退款成功,2026-05-23T11:15:08.284Z
AS20260525000006,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务5,FINANCE,退款成功,2026-05-23T11:15:08.284Z
AS20260525000010,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员8,WAREHOUSE,仓库复核通过,2026-05-23T01:15:08.285Z
AS20260525000011,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员1,WAREHOUSE,仓库复核通过,2026-05-23T01:15:08.285Z
AS20260525000002,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员19,WAREHOUSE,仓库复核通过,2026-05-23T01:15:08.284Z
AS20260525000006,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员15,WAREHOUSE,仓库复核通过,2026-05-23T01:15:08.284Z
AS20260525000016,CREATED,LEADER_SUBMITTED,团长16,LEADER,团长提交退款申请,2026-05-22T19:15:08.286Z
AS20260525000010,CREATED,LEADER_SUBMITTED,团长10,LEADER,团长提交退款申请,2026-05-22T19:15:08.285Z
AS20260525000011,CREATED,LEADER_SUBMITTED,团长11,LEADER,团长提交退款申请,2026-05-22T19:15:08.285Z
AS20260525000002,CREATED,LEADER_SUBMITTED,团长2,LEADER,团长提交退款申请,2026-05-22T19:15:08.284Z
AS20260525000006,CREATED,LEADER_SUBMITTED,团长6,LEADER,团长提交退款申请,2026-05-22T19:15:08.284Z
AS20260525000016,无,CREATED,系统,SYSTEM,售后单创建,2026-05-22T18:15:08.286Z
AS20260525000010,无,CREATED,系统,SYSTEM,售后单创建,2026-05-22T18:15:08.285Z
AS20260525000011,无,CREATED,系统,SYSTEM,售后单创建,2026-05-22T18:15:08.285Z
AS20260525000002,无,CREATED,系统,SYSTEM,售后单创建,2026-05-22T18:15:08.284Z
AS20260525000006,无,CREATED,系统,SYSTEM,售后单创建,2026-05-22T18:15:08.284Z
AS20260525000001,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务9,FINANCE,退款成功,2026-05-22T11:15:08.283Z
AS20260525000013,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员1,WAREHOUSE,仓库复核通过,2026-05-22T01:15:08.286Z
AS20260525000001,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员7,WAREHOUSE,仓库复核通过,2026-05-22T01:15:08.283Z
AS20260525000013,CREATED,LEADER_SUBMITTED,团长13,LEADER,团长提交退款申请,2026-05-21T19:15:08.286Z
AS20260525000020,CREATED,LEADER_SUBMITTED,团长20,LEADER,团长提交退款申请,2026-05-21T19:15:08.286Z
AS20260525000001,CREATED,LEADER_SUBMITTED,团长1,LEADER,团长提交退款申请,2026-05-21T19:15:08.283Z
AS20260525000013,无,CREATED,系统,SYSTEM,售后单创建,2026-05-21T18:15:08.286Z
AS20260525000020,无,CREATED,系统,SYSTEM,售后单创建,2026-05-21T18:15:08.286Z
AS20260525000001,无,CREATED,系统,SYSTEM,售后单创建,2026-05-21T18:15:08.283Z
AS20260525000007,LEADER_SUBMITTED,WAREHOUSE_REJECTED,仓管员6,WAREHOUSE,仓库复核驳回,2026-05-21T01:15:08.285Z
AS20260525000019,CREATED,LEADER_SUBMITTED,团长19,LEADER,团长提交退款申请,2026-05-20T19:15:08.286Z
AS20260525000007,CREATED,LEADER_SUBMITTED,团长7,LEADER,团长提交退款申请,2026-05-20T19:15:08.285Z
AS20260525000019,无,CREATED,系统,SYSTEM,售后单创建,2026-05-20T18:15:08.286Z
AS20260525000007,无,CREATED,系统,SYSTEM,售后单创建,2026-05-20T18:15:08.285Z
AS20260525000003,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务2,FINANCE,退款成功,2026-05-20T11:15:08.284Z
AS20260525000004,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务3,FINANCE,退款成功,2026-05-20T11:15:08.284Z
AS20260525000012,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员6,WAREHOUSE,仓库复核通过,2026-05-20T01:15:08.286Z
AS20260525000014,LEADER_SUBMITTED,WAREHOUSE_REJECTED,仓管员10,WAREHOUSE,仓库复核驳回,2026-05-20T01:15:08.286Z
AS20260525000003,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员16,WAREHOUSE,仓库复核通过,2026-05-20T01:15:08.284Z
AS20260525000004,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员1,WAREHOUSE,仓库复核通过,2026-05-20T01:15:08.284Z
AS20260525000012,CREATED,LEADER_SUBMITTED,团长12,LEADER,团长提交退款申请,2026-05-19T19:15:08.286Z
AS20260525000014,CREATED,LEADER_SUBMITTED,团长14,LEADER,团长提交退款申请,2026-05-19T19:15:08.286Z
AS20260525000003,CREATED,LEADER_SUBMITTED,团长3,LEADER,团长提交退款申请,2026-05-19T19:15:08.284Z
AS20260525000004,CREATED,LEADER_SUBMITTED,团长4,LEADER,团长提交退款申请,2026-05-19T19:15:08.284Z
AS20260525000012,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T18:15:08.286Z
AS20260525000014,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T18:15:08.286Z
AS20260525000003,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T18:15:08.284Z
AS20260525000004,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T18:15:08.284Z
AS20260525000008,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务3,FINANCE,退款成功,2026-05-19T11:15:08.285Z
AS20260525000008,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员13,WAREHOUSE,仓库复核通过,2026-05-19T01:15:08.285Z
AS20260525000018,CREATED,LEADER_SUBMITTED,团长18,LEADER,团长提交退款申请,2026-05-18T19:15:08.286Z
