# 室内定位测试数据 - 物联网工程演示
# 包含: 楼层串跳、信标重号、轨迹漂移
# 生成时间: 2026-05-31

timestamp,x,y,floor,beacon_id,rssi
0.0,5.099,9.972,1,BEACON_01_0101,-62.4
0.5,5.430,10.604,1,BEACON_01_0102,-58.2
1.0,5.553,10.549,1,BEACON_01_0102,-51.7
1.5,6.216,11.040,1,BEACON_01_0102,-75.9
2.0,6.106,11.277,1,BEACON_01_0102,-74.4
2.5,6.407,11.345,1,BEACON_01_0102,-80.0
3.0,6.848,11.311,1,BEACON_01_0102,-79.9
3.5,6.755,11.820,1,BEACON_01_0102,-66.7
4.0,7.197,12.215,1,BEACON_01_0102,-73.1
4.5,7.518,12.068,1,BEACON_01_0102,-78.3
5.0,8.293,12.479,1,BEACON_01_0102,-75.5
5.5,8.314,12.389,1,BEACON_01_0102,-57.4
6.0,8.491,12.818,1,BEACON_01_0102,-63.5
6.5,8.670,12.966,1,BEACON_01_0102,-53.9
7.0,9.080,12.898,1,BEACON_01_0102,-78.6
7.5,9.380,13.363,1,BEACON_01_0102,-68.2
8.0,9.797,12.787,1,BEACON_01_0102,-56.9
8.5,10.265,12.731,1,BEACON_01_0202,-70.2
9.0,10.442,12.530,1,BEACON_01_0202,-68.5
9.5,10.434,12.878,1,BEACON_01_0202,-60.7
10.0,11.148,12.762,1,BEACON_01_0202,-53.4
10.5,11.277,12.529,1,BEACON_01_0202,-70.1
11.0,11.304,12.282,1,BEACON_01_0202,-65.6
11.5,11.808,12.449,1,BEACON_01_0202,-73.2
12.0,12.269,11.674,1,BEACON_01_0202,-65.6
12.5,12.565,11.718,1,BEACON_01_0202,-75.6

# 备注: 进入楼梯间，信号可能不稳定

13.0,12.665,11.669,1,BEACON_01_0202,-66.6
13.5,13.306,11.468,1,BEACON_01_0202,-66.8
14.0,13.232,10.943,1,BEACON_01_0202,-76.3
14.5,13.766,10.913,1,BEACON_01_0202,-62.1
15.0,21.904,10.386,1,BEACON_01_0202,-54.0
15.5,14.079,9.886,1,BEACON_01_0201,-50.9
