,股票A,股票B,债券C,商品D
2022-01-03,0.010434283060224654,0.006002967765089448,0.0037842194854621667,-0.011770936400210104
2022-01-04,-0.002265286023423693,0.009458786179257347,-0.0013066377855910668,-0.021369394101078017
2022-01-05,0.01345377076201385,0.008696856718965596,0.00043495358612435957,0.017536972797849843
2022-01-06,0.03096059712816051,0.016511710883319326,0.002679696088520497,-0.00960031599797824
2022-01-07,-0.00418306749446672,0.01280883231823356,-0.007712729284432714,0.026698409601165547
2022-01-10,-0.004182739138983611,0.00718770118842655,-0.0025452633867314744,0.01562514873941744
2022-01-11,0.03208425631014783,-0.0007524856718797055,0.004071323398109136,0.01728923308001194
2022-01-12,0.015848694583058175,-0.02461441400273987,-0.006171447115846247,-0.03394889278001336
2022-01-13,-0.008889487718699043,0.006744273286988787,0.0015677896608331464,0.030498599634660013
2022-01-14,0.011351200871719294,0.003415315307446667,-0.0066829090231170256,0.006731263280846401
2022-01-17,-0.008768353856249245,0.004373682557930601,0.0024321499121676316,-0.00903192848115508
2022-01-18,-0.008814595071405137,-0.01885122863730464,-7.820741148741783e-05,0.003784711683556277
2022-01-19,0.005339245431320682,-0.015915848106123932,-0.007975659079527547,-0.044205880822458
2022-01-20,-0.03776560489315596,0.016097292799993553,0.005923696772285857,0.010416320287016773
2022-01-21,-0.03399835665026066,-0.0002933273078498257,-0.0035729578839902463,-0.02553428770455179
2022-01-24,-0.010745750584819453,0.010522510460589366,-0.0039512621850719045,-0.03361675714608836
2022-01-25,-0.019756622406688476,0.0007247756419569175,0.0011028459861547144,-0.03785897965544728
2022-01-26,0.0067849466519054775,0.0007463420924361777,0.005843186747143576,0.02801720937474813
2022-01-27,-0.01766048151042422,0.014374257089639965,-0.004979109094891985,-0.015531584842319717
2022-01-28,-0.02774607402670583,-0.0074406709232606085,0.0004083992492398583,0.03854319274791248
2022-01-31,0.029812975378431084,0.0017418116541147504,0.0022440825016528648,-0.013195036576307445
2022-02-01,-0.004015526009730713,-0.006634129330575637,0.00356552803631572,-0.04248394893982367
2022-02-02,0.0018505640937584767,-0.006217443411484734,0.0009822077763861259,-0.02771311099871648
2022-02-03,-0.027994963724269135,-0.00433758185202959,-0.0017351391954166116,0.031095290500173466
2022-02-04,-0.010387654490503653,0.0036320065745056923,-0.004037951103243598,-0.003697454448416688
2022-02-07,0.002718451794197322,-0.00688122932495216,0.0005307194152318738,-0.013507182412265024
2022-02-08,-0.022519871548446056,0.019136341883602814,-0.005260695059928034,0.004200455646319692
2022-02-09,0.00801396036691344,-0.013119109533292558,-0.014506752417473038,0.012744568404188627
2022-02-10,-0.0115127737983761,-0.0025030746624203856,0.002282799020788339,0.02813497039756152
2022-02-11,-0.0053338749958655365,-0.006295965874112623,0.004619674205430977,0.03641248074732316
2022-02-14,-0.011534132244587937,0.022004668265305994,-0.011714662177709194,-0.008794216144727144
2022-02-15,0.03754556369017876,0.0032483216476736194,-0.004948653523549688,-0.03295119215205096
2022-02-16,0.0002300555052413216,0.015777668092029525,0.003195771305025989,-0.0101366290280819
